SurfactantFilm,,SurfactantSolution,
Wavelength(nm),Absorption,Wavelength(nm),Absorption
250,0.025274,250,0.75243
251,0.028585,251,0.74514
252,0.031895,252,0.73805
253,0.030273,253,0.73203
254,0.030471,254,0.7269
255,0.029433,255,0.72222
256,0.028897,256,0.71856
257,0.027949,257,0.71566
258,0.026404,258,0.71337
259,0.026441,259,0.71186
260,0.027329,260,0.71057
261,0.026272,261,0.70995
262,0.025668,262,0.70961
263,0.023817,263,0.70972
264,0.023898,264,0.70985
265,0.023625,265,0.7107
266,0.023669,266,0.71179
267,0.024414,267,0.71337
268,0.024846,268,0.71567
269,0.024998,269,0.71835
270,0.025259,270,0.72141
271,0.024609,271,0.72463
272,0.024536,272,0.72781
273,0.025215,273,0.73106
274,0.024791,274,0.73399
275,0.024376,275,0.73633
276,0.024686,276,0.73876
277,0.025263,277,0.74023
278,0.025278,278,0.74149
279,0.024759,279,0.74257
280,0.024085,280,0.74341
281,0.023577,281,0.74372
282,0.023615,282,0.74434
283,0.02398,283,0.74436
284,0.024041,284,0.74418
285,0.023207,285,0.74356
286,0.023001,286,0.74268
287,0.022981,287,0.74141
288,0.023204,288,0.73979
289,0.023179,289,0.73722
290,0.022826,290,0.73417
291,0.022363,291,0.73014
292,0.021919,292,0.72573
293,0.021506,293,0.72045
294,0.020936,294,0.7154
295,0.020898,295,0.70984
296,0.020819,296,0.70433
297,0.020396,297,0.69914
298,0.019821,298,0.69413
299,0.019578,299,0.68904
300,0.01922,300,0.68431
301,0.018626,301,0.67939
302,0.018179,302,0.67433
303,0.01794,303,0.66932
304,0.017563,304,0.66361
305,0.017514,305,0.65795
306,0.017338,306,0.65209
307,0.017251,307,0.64588
308,0.01698,308,0.63966
309,0.016582,309,0.63395
310,0.01646,310,0.62811
311,0.016485,311,0.62265
312,0.01639,312,0.6179
313,0.016182,313,0.61383
314,0.016055,314,0.60993
315,0.016009,315,0.60689
316,0.015835,316,0.60461
317,0.015681,317,0.60256
318,0.015356,318,0.60098
319,0.015808,319,0.59941
320,0.01561,320,0.59735
321,0.01533,321,0.59489
322,0.015435,322,0.59124
323,0.015573,323,0.58681
324,0.015451,324,0.58143
325,0.015249,325,0.57524
326,0.015119,326,0.56862
327,0.015068,327,0.56136
328,0.014919,328,0.55465
329,0.014936,329,0.54773
330,0.014524,330,0.54196
331,0.014594,331,0.53635
332,0.014521,332,0.53123
333,0.014263,333,0.52656
334,0.014092,334,0.52274
335,0.013903,335,0.5195
336,0.013673,336,0.51645
337,0.01375,337,0.51356
338,0.01339,338,0.51122
339,0.013405,339,0.50899
340,0.013695,340,0.50698
341,0.01344,341,0.50475
342,0.01338,342,0.50302
343,0.013411,343,0.50095
344,0.013212,344,0.49951
345,0.012976,345,0.49835
346,0.013097,346,0.49676
347,0.013311,347,0.49662
348,0.013311,348,0.49552
349,0.013311,349,0.49549
350,0.013311,350,0.49439
351,0.013421,351,0.49259
352,0.013652,352,0.49014
353,0.013351,353,0.48652
354,0.0134,354,0.48216
355,0.013371,355,0.47712
356,0.013112,356,0.47133
357,0.012992,357,0.46553
358,0.013034,358,0.45949
359,0.012878,359,0.45402
360,0.012883,360,0.44888
361,0.012649,361,0.44464
362,0.01262,362,0.44118
363,0.012649,363,0.43847
364,0.012532,364,0.43682
365,0.012384,365,0.43611
366,0.012302,366,0.43669
367,0.012236,367,0.43829
368,0.012193,368,0.44122
369,0.012227,369,0.44503
370,0.012304,370,0.44964
371,0.012458,371,0.45474
372,0.012398,372,0.45911
373,0.012427,373,0.46225
374,0.012525,374,0.46334
375,0.012502,375,0.46227
