SWCNT	S11	S22	E11	E22	   
(5,4)	833	483	1.488	2.567	   
(6,4)	873	581	1.420	2.134	   
(9,1)	912	693	1.359	1.789	   
(8,3)	952	663	1.302	1.870	   
(6,5)	975	567	1.272	2.187	   
(7,5)	1023	644	1.212	1.925	   
(10,2)	1053	734	1.177	1.689	   
(9,4)	1101	720	1.126	1.722	   
(8,4)	1113	587	1.114	2.112	   
(7,6)	1122	647	1.105	1.916	   
(9,2)	1139	551	1.088	2.250	   
(12,1)	1171	797	1.059	1.556	   
(8,6)	1172	716	1.058	1.732	   
(11,3)	1197	792	1.036	1.565	   
(9,5)	1244	671	0.997	1.848	   
(10,3)	1250	633	0.992	1.959	   
(10,5)	1250	786	0.992	1.577	   
(11,1)	1263	611	0.982	2.029	   
(8,7)	1267	728	0.979	1.703	   
(13,2)	1307	859	0.949	1.443	   
(9,7)	1323	790	0.937	1.569	   
(12,4)	1342	857	0.924	1.447	   
(11,4)	1372	714	0.904	1.736	   
(12,2)	1376	685	0.901	1.810	   
(10,6)	1380	756	0.898	1.640	   
(11,6)	1397	858	0.887	1.445	   
(9,8)	1414	809	0.877	1.533	   
(15,1)	1425	927	0.870	1.337	   
(10,8)	1474	868	0.841	1.428	   
(13,5)	1485	928	0.835	1.336	   
(12,5)	1496	795	0.829	1.559	   
(13,3)	1497	760	0.828	1.631	   
(10,9)	1555	892	0.797	1.390	 
