Surfactant Film	
Wavelength(nm),Absorption
250,0.025274
251,0.028585
252,0.031895
253,0.030273
254,0.030471
255,0.029433
256,0.028897
257,0.027949
258,0.026404
259,0.026441
260,0.027329
261,0.026272
262,0.025668
263,0.023817
264,0.023898
265,0.023625
266,0.023669
267,0.024414
268,0.024846
269,0.024998
270,0.025259
271,0.024609
272,0.024536
273,0.025215
274,0.024791
275,0.024376
276,0.024686
277,0.025263
278,0.025278
279,0.024759
280,0.024085
281,0.023577
282,0.023615
283,0.02398
284,0.024041
285,0.023207
286,0.023001
287,0.022981
288,0.023204
289,0.023179
290,0.022826
291,0.022363
292,0.021919
293,0.021506
294,0.020936
295,0.020898
296,0.020819
297,0.020396
298,0.019821
299,0.019578
300,0.01922
301,0.018626
302,0.018179
303,0.01794
304,0.017563
305,0.017514
306,0.017338
307,0.017251
308,0.01698
309,0.016582
310,0.01646
311,0.016485
312,0.01639
313,0.016182
314,0.016055
315,0.016009
316,0.015835
317,0.015681
318,0.015356
319,0.015808
320,0.01561
321,0.01533
322,0.015435
323,0.015573
324,0.015451
325,0.015249
326,0.015119
327,0.015068
328,0.014919
329,0.014936
330,0.014524
331,0.014594
332,0.014521
333,0.014263
334,0.014092
335,0.013903
336,0.013673
337,0.01375
338,0.01339
339,0.013405
340,0.013695
341,0.01344
342,0.01338
343,0.013411
344,0.013212
345,0.012976
346,0.013097
347,0.013311
348,0.013311
349,0.013311
350,0.013311
351,0.013421
352,0.013652
353,0.013351
354,0.0134
355,0.013371
356,0.013112
357,0.012992
358,0.013034
359,0.012878
360,0.012883
361,0.012649
362,0.01262
363,0.012649
364,0.012532
365,0.012384
366,0.012302
367,0.012236
368,0.012193
369,0.012227
370,0.012304
371,0.012458
372,0.012398
373,0.012427
374,0.012525
375,0.012502
376,0.01253
377,0.012516
378,0.012506
379,0.012539
380,0.01242
381,0.012052
382,0.011928
383,0.012034
384,0.011935
385,0.011743
386,0.011563
387,0.01147
388,0.011295
389,0.011086
390,0.010997
391,0.011029
392,0.011026
393,0.010831
394,0.010838
395,0.010583
396,0.010358
397,0.010391
398,0.010303
399,0.010226
400,0.010262
401,0.010304
402,0.010257
403,0.010168
404,0.010083
405,0.010049
406,0.010177
407,0.010208
408,0.010231
409,0.010305
410,0.010345
411,0.010226
412,0.010182
413,0.010332
414,0.010232
415,0.010099
416,0.010185
417,0.010159
418,0.010118
419,0.0099963
420,0.0099223
421,0.0098648
422,0.0097835
423,0.0097545
424,0.0097386
425,0.0095361
426,0.0094243
427,0.0094155
428,0.0093694
429,0.0093254
430,0.0093466
431,0.0092934
432,0.0092307
433,0.009208
434,0.0091755
435,0.0091217
436,0.0091142
437,0.0090662
438,0.0089814
439,0.0087853
440,0.0088031
441,0.0088948
442,0.0089217
443,0.0088607
444,0.0087346
445,0.0086403
446,0.0086053
447,0.0085459
448,0.0086755
449,0.008755
450,0.0089382
451,0.0086614
452,0.0085155
453,0.0086133
454,0.0085599
455,0.0083935
456,0.0084104
457,0.0085807
458,0.0085494
459,0.0082669
460,0.0083641
461,0.0084333
462,0.0084244
463,0.0083792
464,0.0083037
465,0.0082642
466,0.0082161
467,0.0081598
468,0.008131
469,0.0080711
470,0.0080698
471,0.0081376
472,0.0081414
473,0.008044
474,0.0081393
475,0.0080105
476,0.0079519
477,0.0079634
478,0.007924
479,0.0078687
480,0.007792
481,0.0078385
482,0.007931
483,0.0079383
484,0.0079248
485,0.0077893
486,0.0078229
487,0.0077932
488,0.007783
489,0.0078559
490,0.0078625
491,0.0078214
492,0.0077234
493,0.0076938
494,0.0076693
495,0.0076719
496,0.0076319
497,0.0077008
498,0.0077633
499,0.007776
500,0.0077447
501,0.007696
502,0.0077465
503,0.0078877
504,0.0079001
505,0.0078573
506,0.0078246
507,0.00782
508,0.0078193
509,0.0078253
510,0.0078117
511,0.0077849
512,0.0078093
513,0.0078819
514,0.007833
515,0.007779
516,0.0078153
517,0.0077246
518,0.0077085
519,0.0077032
520,0.0076433
521,0.0075707
522,0.0075789
523,0.0076327
524,0.0075932
525,0.0075844
526,0.0074828
527,0.0074531
528,0.0075822
529,0.0075001
530,0.0075001
531,0.0074933
532,0.0074891
533,0.007514
534,0.0075142
535,0.0074996
536,0.0074216
537,0.0074576
538,0.0074504
539,0.0074808
540,0.007498
541,0.0074834
542,0.0074934
543,0.0075393
544,0.0075185
545,0.0074031
546,0.0073774
547,0.0075004
548,0.0076625
549,0.0076124
550,0.0076567
551,0.0076542
552,0.0076611
553,0.0076579
554,0.0076157
555,0.0076598
556,0.0077408
557,0.0075579
558,0.0075603
559,0.0077294
560,0.0078743
561,0.007726
562,0.0077691
563,0.0078731
564,0.0079067
565,0.0079171
566,0.0078235
567,0.0076994
568,0.0078743
569,0.0077465
570,0.0077917
571,0.0079626
572,0.0078867
573,0.0078329
574,0.0079325
575,0.0079653
576,0.0079885
577,0.0080099
578,0.0079255
579,0.0078957
580,0.00799
581,0.0080602
582,0.0081009
583,0.0081463
584,0.0081414
585,0.0081197
586,0.0082119
587,0.0082661
588,0.0082124
589,0.0082282
590,0.0083563
591,0.008363
592,0.0081873
593,0.0083308
594,0.0083228
595,0.008295
596,0.0083153
597,0.0083761
598,0.0084389
599,0.0084667
600,0.0084656
601,0.0084747
602,0.0084583
603,0.0084553
604,0.0084399
605,0.0084701
606,0.0083678
607,0.0083361
608,0.0083918
609,0.0083942
610,0.0083629
611,0.0083773
612,0.0083327
613,0.0082952
614,0.0082437
615,0.0082013
616,0.0082243
617,0.0081977
618,0.0082435
619,0.0082851
620,0.008272
