Surfactant Example
Wavelength(nm), Absorption(a.u.)
250,0.75243
251,0.74514
252,0.73805
253,0.73203
254,0.7269
255,0.72222
256,0.71856
257,0.71566
258,0.71337
259,0.71186
260,0.71057
261,0.70995
262,0.70961
263,0.70972
264,0.70985
265,0.7107
266,0.71179
267,0.71337
268,0.71567
269,0.71835
270,0.72141
271,0.72463
272,0.72781
273,0.73106
274,0.73399
275,0.73633
276,0.73876
277,0.74023
278,0.74149
279,0.74257
280,0.74341
281,0.74372
282,0.74434
283,0.74436
284,0.74418
285,0.74356
286,0.74268
287,0.74141
288,0.73979
289,0.73722
290,0.73417
291,0.73014
292,0.72573
293,0.72045
294,0.7154
295,0.70984
296,0.70433
297,0.69914
298,0.69413
299,0.68904
300,0.68431
301,0.67939
302,0.67433
303,0.66932
304,0.66361
305,0.65795
306,0.65209
307,0.64588
308,0.63966
309,0.63395
310,0.62811
311,0.62265
312,0.6179
313,0.61383
314,0.60993
315,0.60689
316,0.60461
317,0.60256
318,0.60098
319,0.59941
320,0.59735
321,0.59489
322,0.59124
323,0.58681
324,0.58143
325,0.57524
326,0.56862
327,0.56136
328,0.55465
329,0.54773
330,0.54196
331,0.53635
332,0.53123
333,0.52656
334,0.52274
335,0.5195
336,0.51645
337,0.51356
338,0.51122
339,0.50899
340,0.50698
341,0.50475
342,0.50302
343,0.50095
344,0.49951
345,0.49835
346,0.49676
347,0.49662
348,0.49552
349,0.49549
350,0.49439
351,0.49259
352,0.49014
353,0.48652
354,0.48216
355,0.47712
356,0.47133
357,0.46553
358,0.45949
359,0.45402
360,0.44888
361,0.44464
362,0.44118
363,0.43847
364,0.43682
365,0.43611
366,0.43669
367,0.43829
368,0.44122
369,0.44503
370,0.44964
371,0.45474
372,0.45911
373,0.46225
374,0.46334
375,0.46227
376,0.45909
377,0.45408
378,0.44809
379,0.44115
380,0.43432
381,0.42728
382,0.42047
383,0.4136
384,0.40706
385,0.40054
386,0.39403
387,0.38795
388,0.38176
389,0.37592
390,0.37057
391,0.36532
392,0.36079
393,0.35643
394,0.35265
395,0.34932
396,0.34646
397,0.34413
398,0.3424
399,0.34089
400,0.34005
401,0.33958
402,0.33979
403,0.34037
404,0.34145
405,0.34256
406,0.3442
407,0.34564
408,0.34692
409,0.3478
410,0.34795
411,0.34737
412,0.34588
413,0.34368
414,0.34081
415,0.33766
416,0.33407
417,0.33061
418,0.32706
419,0.3234
420,0.31993
421,0.31665
422,0.31345
423,0.31041
424,0.30752
425,0.30477
426,0.30204
427,0.29951
428,0.29708
429,0.29476
430,0.29272
431,0.29058
432,0.28856
433,0.28685
434,0.28512
435,0.28361
436,0.28225
437,0.28097
438,0.27981
439,0.27891
440,0.27807
441,0.27721
442,0.27654
443,0.27579
444,0.27519
445,0.27457
446,0.27387
447,0.27329
