empty-P2-APA218,,empty-P2-0329,,empty-P2-0601,,empty-P2-0706,,empty-P2-dial-0930,,empty-new-P2-0601,,PFO-P2,,triacontene-P2,,annoctadecane-P2,,annoctadecane-P2-650,,octadecane-P2,,s1-octadecene-P2,,s-limonene-P2,,toluene-P2,,s14-dibromobenzene-P2,,s1-bromohexadecane-P2,,bis-2-ethyl-hexyl-sebacate-P2,,dibutyl-sebacate-P2,,chcl3-P2,,s17dibromoheptane-P2,,ethylacetate-P2,,otoluidine-P2,,s1dodecanol-new-P2,,tributylphosphate-P2,,s1octanol-new-P2,,s3octanone-P2,,s3nonanone-P2,,tripropylphosphate-P2,Wavelength,s2heptanone-P2,,anisaldehyde-P2,,diethylsulfite-P2,,dipropyldisulfide-P2,,isobutanol-P2,,butyronitrile-P2,Wavelength,dmf-P2,,mecn-P2,,DMSO-P2,,water-P2,,formamide-P2-1,,formamide-P2-2,,vitE,,OHA,,cholesterol,,perhydropyrene,,emptydil,,triacontenedil,,dibutylsebacatedil,,dioctylsebacatedil

Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
2500,0.249233767,2500,0.159753144,2500,0.37777,2500,0.377771884,2500,0.335316956,2500,0.27897,2500,0.45713827,2500,0.3014175,2500,0.373928279,2500,0.328754842,2500,0.439353317,2500,0.16147615,2500,0.302921861,2500,0.166713595,2500,0.195111841,2500,1.25596714,2500,0.111645229,2500,0.282986045,2500,0.23748818,2500,0.128826171,2500,0.231561974,2500,0.063898668,2500,0.303733707,2500,0.088183612,2500,0.328090489,2500,0.085961632,2500,0.096150786,2500,0.088183612,2500,0.259240121,2500,0.52940464,2500,0.141832322,2500,0.072332226,2500,0.437013179,2500,0.199625209,2500,0.527097821,2500,0.163386717,2500,0.277159035,2500,0.177830219,2500,0.089853629,2500,0.008323865,2500,0.131621599,2500,0.295178056,2500,0.286373675,2500,0.05819771,2500,0.056248959,2500,-0.007548886,2500,0.078330211,2500,-0.000498174
2499,0.248255879,2499,0.185021773,2499,0.35403,2499,0.354028732,2499,0.345358908,2499,0.26849,2499,0.421635538,2499,0.283423662,2499,0.408418775,2499,0.331362069,2499,0.423960716,2499,0.171642333,2499,0.310939759,2499,0.177156732,2499,0.186754257,2499,1.943729997,2499,0.111309886,2499,0.29716441,2499,0.256968498,2499,0.134170279,2499,0.214203522,2499,0.061183747,2499,0.306478918,2499,0.079463616,2499,0.297851116,2499,0.095058002,2499,0.089402303,2499,0.079463616,2499,0.264211386,2499,0.522819638,2499,0.133901253,2499,0.097964063,2499,0.444393158,2499,0.192491889,2499,0.473463476,2499,0.183093578,2499,0.276990205,2499,0.162279874,2499,0.06478326,2499,0.00295844,2499,0.139342859,2499,0.299732208,2499,0.297822535,2499,0.05670871,2499,0.05924993,2499,-0.007654602,2499,0.082358219,2499,6.52E-06
2498,0.248270452,2498,0.180635288,2498,0.36692,2498,0.366924673,2498,0.318107724,2498,0.24922,2498,0.401434004,2498,0.280185014,2498,0.410029858,2498,0.332199276,2498,0.441748142,2498,0.175016314,2498,0.316233069,2498,0.155636862,2498,0.201005027,2498,1.398034215,2498,0.116743192,2498,0.289603114,2498,0.24604021,2498,0.135450408,2498,0.230193436,2498,0.062135927,2498,0.315772563,2498,0.078326248,2498,0.313264161,2498,0.08201015,2498,0.094569758,2498,0.078326248,2498,0.2543917,2498,0.522626817,2498,0.1366577,2498,0.08229661,2498,0.464289069,2498,0.207749531,2498,0.520423174,2498,0.195215866,2498,0.304591298,2498,0.196901381,2498,0.070856512,2498,0.004772527,2498,0.132872865,2498,0.279613137,2498,0.301837027,2498,0.05434774,2498,0.056485839,2498,-0.008535901,2498,0.078311056,2498,0.000931236
2497,0.250982136,2497,0.171353221,2497,0.36478,2497,0.364782274,2497,0.32505843,2497,0.243,2497,0.432541072,2497,0.3083314,2497,0.400237173,2497,0.290098041,2497,0.434244126,2497,0.163898915,2497,0.309834212,2497,0.182008371,2497,0.196589992,2497,1.195588827,2497,0.102988437,2497,0.285344541,2497,0.257821173,2497,0.132478014,2497,0.24615334,2497,0.068649031,2497,0.311603397,2497,0.073569544,2497,0.299110234,2497,0.08136189,2497,0.091824248,2497,0.073569544,2497,0.235891521,2497,0.503345668,2497,0.126418069,2497,0.069677636,2497,0.422515959,2497,0.191758588,2497,0.511549175,2497,0.177639857,2497,0.290476292,2497,0.177200601,2497,0.067252129,2497,0.000328954,2497,0.124025993,2497,0.281104147,2497,0.280519813,2497,0.0574381,2497,0.058982365,2497,-0.009412274,2497,0.080689535,2497,0.000704981
2496,0.251570016,2496,0.182759166,2496,0.34333,2496,0.343325555,2496,0.331931144,2496,0.24794,2496,0.438954771,2496,0.303067356,2496,0.370795369,2496,0.319905192,2496,0.428466678,2496,0.169004813,2496,0.307455242,2496,0.16564481,2496,0.183422536,2496,1.329717278,2496,0.089243762,2496,0.28884232,2496,0.248236716,2496,0.131146625,2496,0.216330662,2496,0.073726088,2496,0.31142503,2496,0.086050682,2496,0.306845814,2496,0.072533742,2496,0.103217177,2496,0.086050682,2496,0.239765972,2496,0.515654385,2496,0.146093845,2496,0.080301657,2496,0.425494611,2496,0.210160971,2496,0.530051708,2496,0.189406887,2496,0.273159206,2496,0.188420877,2496,0.076466918,2496,0.010246627,2496,0.130401298,2496,0.290449351,2496,0.298766106,2496,0.05434833,2496,0.06168877,2496,-0.005820422,2496,0.082109772,2496,0.004401985
2495,0.245008662,2495,0.187088251,2495,0.37578,2495,0.375781834,2495,0.324706256,2495,0.24704,2495,0.416769296,2495,0.296334028,2495,0.366589934,2495,0.300843239,2495,0.423185676,2495,0.153985798,2495,0.310992867,2495,0.180581883,2495,0.18760173,2495,1.44086349,2495,0.085905597,2495,0.296444833,2495,0.253901035,2495,0.117287748,2495,0.215467498,2495,0.073796801,2495,0.311920106,2495,0.07640259,2495,0.304312557,2495,0.078151055,2495,0.09161751,2495,0.07640259,2495,0.241282165,2495,0.541962624,2495,0.123177789,2495,0.079577088,2495,0.450027108,2495,0.203573704,2495,0.527630568,2495,0.191496,2495,0.268861532,2495,0.178227037,2495,0.066906467,2495,0.010339587,2495,0.136068285,2495,0.296352059,2495,0.294505656,2495,0.05552654,2495,0.061328847,2495,-0.003966921,2495,0.082675308,2495,0.001525808
2494,0.245848432,2494,0.181566879,2494,0.37079,2494,0.370787799,2494,0.322938025,2494,0.27112,2494,0.441646874,2494,0.28806302,2494,0.36130026,2494,0.338308185,2494,0.40452084,2494,0.149782509,2494,0.302280158,2494,0.177496404,2494,0.185890228,2494,1.204356551,2494,0.089757562,2494,0.307222307,2494,0.25963226,2494,0.134818569,2494,0.241671026,2494,0.078842923,2494,0.309509426,2494,0.079647392,2494,0.309038729,2494,0.081812181,2494,0.092672125,2494,0.079647392,2494,0.223604366,2494,0.504866958,2494,0.127462417,2494,0.08633884,2494,0.463622928,2494,0.211779669,2494,0.468561471,2494,0.17310217,2494,0.267560363,2494,0.192067415,2494,0.06926892,2494,0.004125749,2494,0.141680479,2494,0.288694859,2494,0.296835452,2494,0.05741507,2494,0.060616743,2494,-0.008985744,2494,0.081050895,2494,0.001730243
2493,0.247805983,2493,0.174419388,2493,0.35258,2493,0.352576613,2493,0.316888332,2493,0.24568,2493,0.423043311,2493,0.282078028,2493,0.401524097,2493,0.29810831,2493,0.434971005,2493,0.166976184,2493,0.30737111,2493,0.16915971,2493,0.190600425,2493,1.333028793,2493,0.114002675,2493,0.286990523,2493,0.252637506,2493,0.127365455,2493,0.217287466,2493,0.060264129,2493,0.304011613,2493,0.084663101,2493,0.295237422,2493,0.083344258,2493,0.095839873,2493,0.084663101,2493,0.240867674,2493,0.484878957,2493,0.130045742,2493,0.070874527,2493,0.449130625,2493,0.191031337,2493,0.489027679,2493,0.170891076,2493,0.282199323,2493,0.16321069,2493,0.063880824,2493,0.009687462,2493,0.132496417,2493,0.281855524,2493,0.284073979,2493,0.05518673,2493,0.061943799,2493,-0.006083776,2493,0.081452869,2493,0.002765956
2492,0.24716945,2492,0.180207685,2492,0.34897,2492,0.348973602,2492,0.333416164,2492,0.24121,2492,0.431947708,2492,0.294303149,2492,0.378012419,2492,0.327602953,2492,0.421691984,2492,0.155623898,2492,0.291953385,2492,0.171673894,2492,0.172373295,2492,1.256254077,2492,0.104443654,2492,0.280430138,2492,0.245832577,2492,0.135879964,2492,0.231193066,2492,0.068227924,2492,0.284578294,2492,0.074517988,2492,0.307788402,2492,0.075639874,2492,0.100322135,2492,0.074517988,2492,0.240300745,2492,0.459552646,2492,0.13745153,2492,0.068756223,2492,0.434525222,2492,0.210831523,2492,0.513801873,2492,0.178909525,2492,0.300411701,2492,0.174835667,2492,0.076123536,2492,0.012180203,2492,0.132010058,2492,0.291577548,2492,0.302700222,2492,0.0548389,2492,0.059083812,2492,-0.009147637,2492,0.079641387,2492,0.001978434
2491,0.248559311,2491,0.17831406,2491,0.35153,2491,0.351530552,2491,0.321906894,2491,0.24175,2491,0.41563493,2491,0.286678016,2491,0.389647275,2491,0.315857768,2491,0.422448993,2491,0.153015509,2491,0.299091369,2491,0.175643116,2491,0.168376222,2491,1.180829525,2491,0.095033288,2491,0.282129526,2491,0.240294799,2491,0.12720035,2491,0.21724315,2491,0.062585667,2491,0.295992047,2491,0.085743539,2491,0.300808102,2491,0.069093585,2491,0.082819946,2491,0.085743539,2491,0.251783222,2491,0.478433728,2491,0.134376898,2491,0.080735356,2491,0.433067411,2491,0.205714583,2491,0.472735792,2491,0.16892463,2491,0.268927932,2491,0.178139046,2491,0.063618302,2491,0.018914353,2491,0.140231133,2491,0.282079935,2491,0.293276727,2491,0.05566427,2491,0.059300583,2491,-0.01052925,2491,0.077492289,2491,0.000251503
2490,0.246025518,2490,0.172705278,2490,0.36727,2490,0.367273778,2490,0.303284705,2490,0.24863,2490,0.413932234,2490,0.291165561,2490,0.371716678,2490,0.288701564,2490,0.420000047,2490,0.167563528,2490,0.299129278,2490,0.153005123,2490,0.167656899,2490,1.213706255,2490,0.096470557,2490,0.268985003,2490,0.246965885,2490,0.129999206,2490,0.232721731,2490,0.070043117,2490,0.308314711,2490,0.081387177,2490,0.301964313,2490,0.083170734,2490,0.097666763,2490,0.081387177,2490,0.233372286,2490,0.53896004,2490,0.155332148,2490,0.071506359,2490,0.435043424,2490,0.197385818,2490,0.495450318,2490,0.174661472,2490,0.290350854,2490,0.167776689,2490,0.063206531,2490,-0.005304743,2490,0.129822969,2490,0.26862666,2490,0.280171543,2490,0.05733425,2490,0.058917135,2490,-0.005871093,2490,0.079271659,2490,0.003092632
2489,0.243259564,2489,0.178309649,2489,0.34991,2489,0.349913478,2489,0.328208119,2489,0.23159,2489,0.420367539,2489,0.295342922,2489,0.347752243,2489,0.30671373,2489,0.425923199,2489,0.169386104,2489,0.294435531,2489,0.161476821,2489,0.171898603,2489,1.502993703,2489,0.107320584,2489,0.282300979,2489,0.244620577,2489,0.140068635,2489,0.209370956,2489,0.072128139,2489,0.284307063,2489,0.081600659,2489,0.285663098,2489,0.072663657,2489,0.094775721,2489,0.081600659,2489,0.22006686,2489,0.486244053,2489,0.121972039,2489,0.070817299,2489,0.443346173,2489,0.205476999,2489,0.463764906,2489,0.171402544,2489,0.26429674,2489,0.182427138,2489,0.068257459,2489,0.003234247,2489,0.13913095,2489,0.285817325,2489,0.292254359,2489,0.05245783,2489,0.060296755,2489,-0.005101707,2489,0.080562159,2489,0.002029223
