DOC;;H2OinD2O;;Nicodenz;;TriacontaneP2;;AnnoctadecaneP2;;AnnoctadecaneP2650;;OctadecaneP2;;Octadecene1P2;;empty-P2-APA218;;empty-P2-0329;;empty-P2-0601;;empty-P2-0706;;empty-P2-dial-0930;;empty-new-P2-0601;;WaterFilled;;emptydil;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
2500;0.084194;2500;0.832007;2500;0.601881266;2500;0.3014175;2500;0.373928279;2500;0.328754842;2500;0.439353317;2500;0.16147615;2500;0.249233767;2500;0.159753144;2500;0.37777;2500;0.377771884;2500;0.335316956;2500;0.27897;2500;0.177830219;2500;0.056248959
2499;0.084179;2499;0.828993;2499;0.603470564;2499;0.283423662;2499;0.408418775;2499;0.331362069;2499;0.423960716;2499;0.171642333;2499;0.248255879;2499;0.185021773;2499;0.35403;2499;0.354028732;2499;0.345358908;2499;0.26849;2499;0.162279874;2499;0.05924993
2498;0.084263;2498;0.826283;2498;0.603432;2498;0.280185014;2498;0.410029858;2498;0.332199276;2498;0.441748142;2498;0.175016314;2498;0.248270452;2498;0.180635288;2498;0.36692;2498;0.366924673;2498;0.318107724;2498;0.24922;2498;0.196901381;2498;0.056485839
2497;0.084409;2497;0.825094;2497;0.605840504;2497;0.3083314;2497;0.400237173;2497;0.290098041;2497;0.434244126;2497;0.163898915;2497;0.250982136;2497;0.171353221;2497;0.36478;2497;0.364782274;2497;0.32505843;2497;0.243;2497;0.177200601;2497;0.058982365
2496;0.08428;2496;0.822573;2496;0.606374025;2496;0.303067356;2496;0.370795369;2496;0.319905192;2496;0.428466678;2496;0.169004813;2496;0.251570016;2496;0.182759166;2496;0.34333;2496;0.343325555;2496;0.331931144;2496;0.24794;2496;0.188420877;2496;0.06168877
2495;0.084469;2495;0.820221;2495;0.607216716;2495;0.296334028;2495;0.366589934;2495;0.300843239;2495;0.423185676;2495;0.153985798;2495;0.245008662;2495;0.187088251;2495;0.37578;2495;0.375781834;2495;0.324706256;2495;0.24704;2495;0.178227037;2495;0.061328847
2494;0.084678;2494;0.817413;2494;0.605023027;2494;0.28806302;2494;0.36130026;2494;0.338308185;2494;0.40452084;2494;0.149782509;2494;0.245848432;2494;0.181566879;2494;0.37079;2494;0.370787799;2494;0.322938025;2494;0.27112;2494;0.192067415;2494;0.060616743
2493;0.084908;2493;0.81456;2493;0.603411973;2493;0.282078028;2493;0.401524097;2493;0.29810831;2493;0.434971005;2493;0.166976184;2493;0.247805983;2493;0.174419388;2493;0.35258;2493;0.352576613;2493;0.316888332;2493;0.24568;2493;0.16321069;2493;0.061943799
2492;0.084611;2492;0.812072;2492;0.603564501;2492;0.294303149;2492;0.378012419;2492;0.327602953;2492;0.421691984;2492;0.155623898;2492;0.24716945;2492;0.180207685;2492;0.34897;2492;0.348973602;2492;0.333416164;2492;0.24121;2492;0.174835667;2492;0.059083812
2491;0.084416;2491;0.808843;2491;0.601787686;2491;0.286678016;2491;0.389647275;2491;0.315857768;2491;0.422448993;2491;0.153015509;2491;0.248559311;2491;0.17831406;2491;0.35153;2491;0.351530552;2491;0.321906894;2491;0.24175;2491;0.178139046;2491;0.059300583
2490;0.084942;2490;0.805577;2490;0.599909663;2490;0.291165561;2490;0.371716678;2490;0.288701564;2490;0.420000047;2490;0.167563528;2490;0.246025518;2490;0.172705278;2490;0.36727;2490;0.367273778;2490;0.303284705;2490;0.24863;2490;0.167776689;2490;0.058917135
2489;0.084895;2489;0.802192;2489;0.598863065;2489;0.295342922;2489;0.347752243;2489;0.30671373;2489;0.425923199;2489;0.169386104;2489;0.243259564;2489;0.178309649;2489;0.34991;2489;0.349913478;2489;0.328208119;2489;0.23159;2489;0.182427138;2489;0.060296755
2488;0.084998;2488;0.796823;2488;0.595823407;2488;0.304933369;2488;0.367152095;2488;0.291931331;2488;0.426642865;2488;0.16433838;2488;0.243329957;2488;0.1789179;2488;0.34354;2488;0.343538672;2488;0.330062777;2488;0.24671;2488;0.186134741;2488;0.060426805
2487;0.084824;2487;0.795576;2487;0.594002783;2487;0.289826274;2487;0.377664715;2487;0.297016561;2487;0.412575632;2487;0.156331107;2487;0.241765723;2487;0.171215519;2487;0.34496;2487;0.344964892;2487;0.320277453;2487;0.2571;2487;0.183424622;2487;0.05965342
2486;0.084802;2486;0.790466;2486;0.592865646;2486;0.286273986;2486;0.357622296;2486;0.306186646;2486;0.413642615;2486;0.148104459;2486;0.241487861;2486;0.169873253;2486;0.35099;2486;0.350985676;2486;0.320950985;2486;0.22586;2486;0.178218171;2486;0.060093343
2485;0.085034;2485;0.785794;2485;0.585271597;2485;0.284152359;2485;0.36129421;2485;0.291514635;2485;0.407805741;2485;0.151635349;2485;0.240682289;2485;0.175193474;2485;0.35072;2485;0.35072431;2485;0.317946196;2485;0.25215;2485;0.17481634;2485;0.058663547
2484;0.084992;2484;0.782345;2484;0.585434318;2484;0.279796004;2484;0.357250422;2484;0.293791682;2484;0.421632528;2484;0.154114679;2484;0.239116594;2484;0.178177908;2484;0.34539;2484;0.345394135;2484;0.315122694;2484;0.22945;2484;0.183555439;2484;0.060332716
2483;0.0845470000000001;2483;0.777828;2483;0.585695326;2483;0.285201281;2483;0.372501016;2483;0.30787161;2483;0.414541036;2483;0.172084704;2483;0.239519477;2483;0.171017289;2483;0.33074;2483;0.33073628;2483;0.317724705;2483;0.23696;2483;0.18175672;2483;0.05881371
2482;0.084668;2482;0.773082;2482;0.578952849;2482;0.279459745;2482;0.351054192;2482;0.285080403;2482;0.411218107;2482;0.149850011;2482;0.236201078;2482;0.169749171;2482;0.31772;2482;0.317721367;2482;0.313899726;2482;0.2297;2482;0.171990678;2482;0.058044374
2481;0.084705;2481;0.768434;2481;0.576482117;2481;0.280549735;2481;0.354166299;2481;0.282581568;2481;0.3926678;2481;0.148156703;2481;0.234159201;2481;0.159317553;2481;0.32265;2481;0.32265234;2481;0.317178041;2481;0.23187;2481;0.167078584;2481;0.060007736
2480;0.084172;2480;0.764323;2480;0.573461473;2480;0.292410404;2480;0.345476985;2480;0.29127118;2480;0.40578419;2480;0.149887949;2480;0.234793246;2480;0.172064304;2480;0.31795;2480;0.31794849;2480;0.313776434;2480;0.22215;2480;0.161087811;2480;0.057877
2479;0.083917;2479;0.758263;2479;0.572214186;2479;0.276810318;2479;0.348698288;2479;0.28763485;2479;0.394214958;2479;0.149632141;2479;0.234368965;2479;0.16763866;2479;0.32455;2479;0.32455036;2479;0.314183086;2479;0.22863;2479;0.16703178;2479;0.058164634
2478;0.083741;2478;0.753396;2478;0.56858772;2478;0.27948615;2478;0.353778303;2478;0.282758862;2478;0.394646823;2478;0.144453228;2478;0.230937868;2478;0.169024065;2478;0.32863;2478;0.328628331;2478;0.303246439;2478;0.23596;2478;0.168479368;2478;0.058352429
2477;0.084104;2477;0.748962;2477;0.56419462;2477;0.272001833;2477;0.348486096;2477;0.281432331;2477;0.385807395;2477;0.152994186;2477;0.231445074;2477;0.166681305;2477;0.33722;2477;0.337220609;2477;0.298324406;2477;0.22378;2477;0.15667522;2477;0.057145223
2476;0.083539;2476;0.743575;2476;0.561003268;2476;0.278831989;2476;0.34863779;2476;0.270222664;2476;0.385323465;2476;0.14450492;2476;0.228571534;2476;0.158605576;2476;0.32332;2476;0.323323101;2476;0.294817448;2476;0.22617;2476;0.164077416;2476;0.058872487
2475;0.083471;2475;0.738249;2475;0.558619559;2475;0.266116709;2475;0.341222316;2475;0.27800253;2475;0.375955939;2475;0.148061216;2475;0.22689411;2475;0.17637071;2475;0.33108;2475;0.331078112;2475;0.291718334;2475;0.22069;2475;0.155734301;2475;0.056463167
2474;0.083268;2474;0.733625;2474;0.556666017;2474;0.253160328;2474;0.342411965;2474;0.275817245;2474;0.389034897;2474;0.141399026;2474;0.225197405;2474;0.165930763;2474;0.3234;2474;0.323404521;2474;0.290675461;2474;0.21614;2474;0.165818304;2474;0.056154475
