         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]       [Wg^-1]           [%]          [°C]
             0   2.67837e+01   0.00000e+00  -2.91771e+00   9.99198e+01   3.00000e+01
             1   2.68220e+01   1.00000e+00  -2.89301e+00   9.98599e+01   3.01667e+01
             2   2.68703e+01   2.00000e+00  -2.86304e+00   9.97976e+01   3.03333e+01
             3   2.69474e+01   3.00000e+00  -2.83356e+00   9.97314e+01   3.05000e+01
             4   2.70757e+01   4.00000e+00  -2.80117e+00   9.96328e+01   3.06667e+01
             5   2.72120e+01   5.00000e+00  -2.77818e+00   9.95493e+01   3.08333e+01
             6   2.73781e+01   6.00000e+00  -2.75627e+00   9.94709e+01   3.10000e+01
             7   2.75197e+01   7.00000e+00  -2.73431e+00   9.93947e+01   3.11667e+01
             8   2.76685e+01   8.00000e+00  -2.71022e+00   9.93233e+01   3.13333e+01
             9   2.78375e+01   9.00000e+00  -2.68563e+00   9.92604e+01   3.15000e+01
            10   2.80004e+01   1.00000e+01  -2.66001e+00   9.92053e+01   3.16667e+01
            11   2.81377e+01   1.10000e+01  -2.63407e+00   9.91548e+01   3.18333e+01
            12   2.82733e+01   1.20000e+01  -2.60717e+00   9.91271e+01   3.20000e+01
            13   2.84348e+01   1.30000e+01  -2.58137e+00   9.90901e+01   3.21667e+01
            14   2.85912e+01   1.40000e+01  -2.55629e+00   9.90512e+01   3.23333e+01
            15   2.87453e+01   1.50000e+01  -2.53169e+00   9.90115e+01   3.25000e+01
            16   2.88979e+01   1.60000e+01  -2.50638e+00   9.89754e+01   3.26667e+01
            17   2.90463e+01   1.70000e+01  -2.48118e+00   9.89337e+01   3.28333e+01
            18   2.92171e+01   1.80000e+01  -2.45614e+00   9.88884e+01   3.30000e+01
            19   2.93903e+01   1.90000e+01  -2.43127e+00   9.88407e+01   3.31667e+01
            20   2.95327e+01   2.00000e+01  -2.40797e+00   9.87853e+01   3.33333e+01
            21   2.96976e+01   2.10000e+01  -2.38470e+00   9.87327e+01   3.35000e+01
            22   2.98496e+01   2.20000e+01  -2.36083e+00   9.86794e+01   3.36667e+01
            23   3.00187e+01   2.30000e+01  -2.33688e+00   9.86250e+01   3.38333e+01
            24   3.01606e+01   2.40000e+01  -2.31645e+00   9.85684e+01   3.40000e+01
            25   3.03307e+01   2.50000e+01  -2.29425e+00   9.85127e+01   3.41667e+01
            26   3.04886e+01   2.60000e+01  -2.27142e+00   9.84571e+01   3.43333e+01
            27   3.06539e+01   2.70000e+01  -2.24867e+00   9.84013e+01   3.45000e+01
            28   3.08192e+01   2.80000e+01  -2.22827e+00   9.83457e+01   3.46667e+01
            29   3.09855e+01   2.90000e+01  -2.20665e+00   9.82894e+01   3.48333e+01
            30   3.11572e+01   3.00000e+01  -2.18468e+00   9.82327e+01   3.50000e+01
            31   3.13050e+01   3.10000e+01  -2.16310e+00   9.81762e+01   3.51667e+01
            32   3.14683e+01   3.20000e+01  -2.14313e+00   9.81208e+01   3.53333e+01
            33   3.16430e+01   3.30000e+01  -2.12272e+00   9.80654e+01   3.55000e+01
            34   3.17911e+01   3.40000e+01  -2.10252e+00   9.80106e+01   3.56667e+01
            35   3.19749e+01   3.50000e+01  -2.08258e+00   9.79570e+01   3.58333e+01
            36   3.21393e+01   3.60000e+01  -2.06352e+00   9.79075e+01   3.60000e+01
            37   3.22811e+01   3.70000e+01  -2.04402e+00   9.78577e+01   3.61667e+01
            38   3.24625e+01   3.80000e+01  -2.02457e+00   9.78094e+01   3.63333e+01
            39   3.26268e+01   3.90000e+01  -2.00527e+00   9.77627e+01   3.65000e+01
            40   3.27826e+01   4.00000e+01  -1.98865e+00   9.77222e+01   3.66667e+01
            41   3.29590e+01   4.10000e+01  -1.97161e+00   9.76797e+01   3.68333e+01
            42   3.31280e+01   4.20000e+01  -1.95465e+00   9.76371e+01   3.70000e+01
            43   3.32906e+01   4.30000e+01  -1.93778e+00   9.75946e+01   3.71667e+01
            44   3.34637e+01   4.40000e+01  -1.92211e+00   9.75551e+01   3.73333e+01
            45   3.36290e+01   4.50000e+01  -1.90534e+00   9.75141e+01   3.75000e+01
            46   3.37883e+01   4.60000e+01  -1.88850e+00   9.74729e+01   3.76667e+01
            47   3.39666e+01   4.70000e+01  -1.87199e+00   9.74319e+01   3.78333e+01
            48   3.41279e+01   4.80000e+01  -1.85816e+00   9.73912e+01   3.80000e+01
            49   3.42866e+01   4.90000e+01  -1.84340e+00   9.73513e+01   3.81667e+01
            50   3.44708e+01   5.00000e+01  -1.82846e+00   9.73120e+01   3.83333e+01
            51   3.46201e+01   5.10000e+01  -1.81379e+00   9.72731e+01   3.85000e+01
            52   3.47874e+01   5.20000e+01  -1.80107e+00   9.72367e+01   3.86667e+01
            53   3.49726e+01   5.30000e+01  -1.78761e+00   9.71999e+01   3.88333e+01
            54   3.51333e+01   5.40000e+01  -1.77387e+00   9.71633e+01   3.90000e+01
            55   3.53031e+01   5.50000e+01  -1.76068e+00   9.71270e+01   3.91667e+01
            56   3.54735e+01   5.60000e+01  -1.74944e+00   9.70926e+01   3.93333e+01
            57   3.56479e+01   5.70000e+01  -1.73729e+00   9.70579e+01   3.95000e+01
            58   3.58174e+01   5.80000e+01  -1.72456e+00   9.70247e+01   3.96667e+01
            59   3.59718e+01   5.90000e+01  -1.71190e+00   9.69930e+01   3.98333e+01
            60   3.61527e+01   6.00000e+01  -1.70205e+00   9.69649e+01   4.00000e+01
            61   3.63249e+01   6.10000e+01  -1.69138e+00   9.69364e+01   4.01667e+01
            62   3.64911e+01   6.20000e+01  -1.68020e+00   9.69084e+01   4.03333e+01
            63   3.66608e+01   6.30000e+01  -1.66882e+00   9.68806e+01   4.05000e+01
            64   3.68162e+01   6.40000e+01  -1.65817e+00   9.68567e+01   4.06667e+01
            65   3.69987e+01   6.50000e+01  -1.64704e+00   9.68314e+01   4.08333e+01
            66   3.71640e+01   6.60000e+01  -1.63578e+00   9.68072e+01   4.10000e+01
            67   3.73440e+01   6.70000e+01  -1.62467e+00   9.67839e+01   4.11667e+01
            68   3.75032e+01   6.80000e+01  -1.61458e+00   9.67611e+01   4.13333e+01
            69   3.76828e+01   6.90000e+01  -1.60443e+00   9.67379e+01   4.15000e+01
