Atom_number     X(nm)     Y(nm)     Z(nm)     
1     0.0000000000     0.0000000000     1.3955727682  
2     0.0496186845     0.1351659175     1.3938063723  
3     0.2760171256     0.0491512427     1.3386610865  
4     0.1891513857     0.1597415388     1.3694467083  
5     0.3997494032     0.0737268641     1.2697184189  
6     0.0070942486     0.3809221310     1.3955367044  
7     0.2364334569     0.2949074563     1.3542961390  
8     0.4394068114     0.2088927815     1.2398449528  
9     0.5933797586     0.1228781068     1.0649461585  
10     0.6811820202     0.0368634320     0.8491035780  
11     0.1478524763     0.4054977524     1.3797288179  
12     0.3641386073     0.3194830776     1.2930249182  
13     0.5398178573     0.2334684029     1.1399430518  
14     0.6552993719     0.1474537281     0.9375541280  
15     0.6977052414     0.0614390534     0.7084275278  
16     0.1959702402     0.5406636698     1.3674889321  
17     0.4055434566     0.4546489951     1.2656246909  
18     0.5698925343     0.3686343203     1.1004380166  
19     0.6706901020     0.2826196456     0.8903496851  
20     0.6966957289     0.1966049709     0.6587876760  
21     0.6450093999     0.1105902961     0.4315746040  
22     0.5213949111     0.0245756214     0.2340481125  
23     0.1060035460     0.6512539659     1.3874740569  
24     0.3271731918     0.5652392912     1.3141170911  
25     0.5118581513     0.4792246164     1.1720300670  
26     0.6394632994     0.3932099417     0.9770578051  
27     0.6957587604     0.3071952670     0.7509426182  
28     0.6744667515     0.2211805922     0.5188997190  
29     0.5779616491     0.1351659175     0.3068053487  
30     0.4170052101     0.0491512427     0.1383111902  
31     0.1547780013     0.7864198834     1.3781903877  
32     0.3701714535     0.7004052087     1.2892920332  
33     0.5442852724     0.6143905339     1.1344319842  
34     0.6577031726     0.5283758592     0.9308794441  
35     0.6977773681     0.4423611844     0.7013335542  
36     0.6600389889     0.3563465097     0.4713921020  
37     0.5486964267     0.2703318349     0.2666969860  
38     0.3761660364     0.1843171602     0.1100747618  
39     0.1616875274     0.0983024854     0.0189911415  
40    -0.0708215503     0.0122878107     0.0036033061  
41     0.0637602755     0.8970101795     1.3926536125  
42     0.2889906706     0.8109955048     1.3329164732  
43     0.4819942995     0.7249808300     1.2023528645  
44     0.6212483814     0.6389661553     1.0155225742  
45     0.6912240110     0.5529514805     0.7932599639  
46     0.6841178630     0.4669368058     0.5603506267  
47     0.6007223786     0.3809221310     0.3427674245  
48     0.4503373972     0.2949074563     0.1647741267  
49     0.2497330851     0.2088927815     0.0462196384  
50     0.0212798126     0.1228781068     0.0003245519  
51    -0.2095464761     0.0368634320     0.0322068530  
52     0.1130099781     1.0321760970     1.3863606958  
53     0.3334223882     0.9461614222     1.3107589356  
54     0.5166532335     0.8601467475     1.1668016015  
55     0.6422695442     0.7741320727     0.9705420815  
56     0.6962632297     0.6881173980     0.7438662367  
57     0.6726131895     0.6021027232     0.5120518017  
58     0.5739567556     0.5160880485     0.3009495404  
59     0.4112955904     0.4300733737     0.1341005007  
60     0.2027688379     0.3440586990     0.0301108370  
61    -0.0283696617     0.2580440242     0.0005769463  
62    -0.2563445213     0.1720293495     0.0487922976  
63    -0.4557331467     0.0860146747     0.1693801608  
64    -0.6043007350     0.0000000000     0.3488931920  
65     0.0212798126     1.1427663931     1.3952482163  
66     0.2497330851     1.0567517183     1.3493531297  
67     0.4503373972     0.9707370436     1.2307986415  
68     0.6007223786     0.8847223688     1.0528053437  
69     0.6841178630     0.7987076941     0.8352221415  
70     0.6912240110     0.7126930193     0.6023128043  
71     0.6212483814     0.6266783446     0.3800501940  
72     0.4819942995     0.5406636698     0.1932199037  
73     0.2889906706     0.4546489951     0.0626562950  
74     0.0637602755     0.3686343203     0.0029191557  
75    -0.1685803405     0.2826196456     0.0206700672  
76    -0.3821217364     0.1966049709     0.1139295383  
77    -0.5530508643     0.1105902961     0.2722977482  
78    -0.6623065794     0.0245756214     0.4781142815  
79     0.0708215503     1.2779323105     1.3919694621  
80     0.2954329698     1.1919176358     1.3299455399  
81     0.4870992106     1.1059029610     1.1974264514  
82     0.6244466308     1.0198882863     1.0091900499  
83     0.6921589463     0.9338736115     0.7862274992  
84     0.6826852249     0.8478589368     0.5534024462  
85     0.5970819277     0.7618442620     0.3366783539  
86     0.4448950979     0.6758295873     0.1602231881  
87     0.2430958350     0.5898149126     0.0437143293  
88     0.0141877639     0.5038002378     0.0001442515  
89    -0.2163024543     0.4177855631     0.0343716676  
90    -0.4226717256     0.3317708883     0.1425797106  
91    -0.5819068008     0.2457562136     0.3127015714  
92    -0.6762505963     0.1597415388     0.5257661272  
93    -0.6951823730     0.0737268641     0.7580135050  
94     0.2095464761     1.3025079319     1.3633659152  
95     0.4170052101     1.2164932571     1.2572615780  
