Bond_number      Atom1      Atom2     
2  1  4  
103  4  2  
3  6  9  
103  127  4  
9  10  10  
11  11  12  
5  6  14  
6  7  15  
7  8  16  
8  17  19  
127  149  9  
19  20  10  
20  21  11  
21  22  12  
22  23  23  
13  14  25  
14  15  26  
15  16  27  
16  17  28  
17  18  29  
32  149  167  
19  32  33  
20  33  34  
21  34  35  
22  35  36  
23  36  37  
37  38  38  
24  25  40  
25  26  41  
26  27  42  
27  28  43  
28  29  44  
29  30  45  
30  31  46  
48  167  181  
32  48  49  
33  49  50  
34  50  51  
35  51  52  
36  52  53  
37  53  54  
38  54  55  
55  56  39  
40  59  40  
41  60  41  
42  61  42  
43  62  43  
44  63  44  
45  64  45  
46  65  46  
47  66  47  
67  68  69  
181  191  48  
69  70  49  
70  71  50  
71  72  51  
72  73  52  
73  74  53  
74  75  54  
75  76  55  
76  77  56  
77  78  57  
78  79  58  
59  81  59  
60  82  60  
61  83  61  
62  84  62  
63  85  63  
64  86  64  
65  87  65  
66  88  66  
67  89  67  
68  90  68  
91  92  191  
197  69  92  
93  70  93  
94  71  94  
95  72  95  
96  73  96  
97  74  97  
98  75  98  
99  76  99  
100  77  100  
101  78  101  
102  79  102  
103  80  81  
105  81  82  
106  82  83  
107  83  84  
108  84  85  
109  85  86  
110  86  87  
111  87  88  
112  88  89  
113  89  90  
114  90  91  
115  2  5  
91  116  197  
199  92  116  
117  93  117  
118  94  118  
119  95  119  
120  96  120  
121  97  121  
122  98  122  
123  99  123  
124  100  124  
125  101  125  
126  102  126  
127  104  105  
128  105  106  
129  106  107  
130  107  108  
131  108  109  
132  109  110  
133  110  111  
134  111  112  
135  112  113  
136  113  114  
137  114  115  
138  5  13  
115  116  139  
117  139  140  
118  140  141  
119  141  142  
120  142  143  
121  143  144  
122  144  145  
123  145  146  
124  146  147  
125  147  148  
126  148  149  
128  129  129  
130  150  130  
131  151  131  
132  152  132  
133  153  133  
134  154  134  
135  155  135  
136  156  136  
137  157  137  
138  158  13  
24  138  140  
159  141  159  
160  142  160  
161  143  161  
162  144  162  
163  145  163  
164  146  164  
165  147  165  
166  148  166  
167  150  151  
151  152  168  
152  153  169  
153  154  170  
154  155  171  
155  156  172  
156  157  173  
157  158  174  
24  39  158  
160  175  161  
175  176  162  
176  177  163  
177  178  164  
178  179  165  
179  180  166  
180  181  168  
169  169  170  
182  170  171  
183  171  172  
184  172  173  
185  173  174  
186  39  58  
174  176  187  
177  187  188  
178  188  189  
179  189  190  
180  190  191  
182  183  183  
184  192  184  
185  193  185  
186  194  58  
80  186  188  
195  189  195  
196  190  196  
197  192  193  
193  194  198  
80  104  194  
196  199  104  
198  1  2  
2  2  3  
4  4  4  
5  5  5  
6  6  6  
7  7  8  
8  9  9  
9  10  10  
10  11  11  
11  12  12  
13  13  13  
14  14  14  
15  15  15  
16  16  16  
17  17  17  
18  19  19  
19  20  20  
20  21  21  
21  22  22  
22  23  23  
23  24  24  
24  25  25  
25  26  26  
26  27  27  
27  28  28  
28  29  29  
29  30  30  
31  32  32  
32  33  33  
33  34  34  
34  35  35  
35  36  36  
36  37  37  
37  38  38  
38  39  39  
39  40  40  
40  41  41  
41  42  42  
42  43  43  
43  44  44  
44  45  45  
45  46  46  
46  47  47  
48  48  48  
49  49  49  
50  50  50  
51  51  51  
52  52  52  
53  53  53  
54  54  54  
55  55  55  
56  56  57  
58  58  58  
59  59  59  
60  60  60  
61  61  61  
62  62  62  
63  63  63  
64  64  64  
65  65  65  
66  66  66  
67  67  67  
68  68  68  
69  69  69  
70  70  70  
71  71  71  
72  72  72  
73  73  73  
74  74  74  
75  75  75  
76  76  76  
77  77  77  
78  78  78  
79  79  80  
80  80  81  
81  81  82  
82  82  83  
83  83  84  
84  84  85  
85  85  86  
86  86  87  
87  87  88  
88  88  89  
89  89  90  
90  90  91  
91  91  92  
92  92  93  
93  93  94  
94  94  95  
95  95  96  
96  96  97  
97  97  98  
98  98  99  
99  99  100  
100  100  101  
101  101  102  
102  102  103  
103  103  104  
104  104  105  
105  105  106  
106  106  107  
107  107  108  
108  108  109  
109  109  110  
110  110  111  
111  111  112  
112  112  113  
113  113  114  
114  114  115  
115  115  116  
116  116  117  
117  117  118  
118  118  119  
119  119  120  
120  120  121  
121  121  122  
122  122  123  
123  123  124  
124  124  125  
125  125  126  
126  126  127  
127  127  128  
128  129  129  
129  130  130  
130  131  131  
131  132  132  
132  133  133  
133  134  134  
134  135  135  
135  136  136  
136  137  137  
137  138  138  
138  139  139  
140  140  140  
141  141  141  
142  142  142  
143  143  143  
144  144  144  
145  145  145  
146  146  146  
147  147  147  
148  148  148  
149  149  149  
150  150  151  
151  151  152  
152  152  153  
153  153  154  
154  154  155  
155  155  156  
156  156  157  
157  157  158  
158  158  159  
159  160  160  
160  161  161  
161  162  162  
162  163  163  
163  164  164  
164  165  165  
165  166  166  
166  167  167  
167  168  168  
169  169  169  
170  170  170  
171  171  171  
172  172  172  
173  173  173  
174  174  174  
175  175  176  
176  176  177  
177  177  178  
178  178  179  
179  179  180  
180  180  181  
181  181  182  
182  183  183  
183  184  184  
184  185  185  
185  186  186  
186  187  187  
188  188  188  
189  189  189  
190  190  190  
191  191  191  
192  192  193  
193  193  194  
194  194  195  
195  196  196  
196  197  197  
197  198  198  
199  199  
