Name,X,Y,Name,X,Y
Test Film Sample (SWCNT),120.2587890625,1.06985519276449,Test Film Sample (Converted to DWCNT),120.21484375,1.1912807498071
Test Film Sample (SWCNT),120.5703125,1.05406623797325,Test Film Sample (Converted to DWCNT),120.5263671875,1.14606985207986
Test Film Sample (SWCNT),120.884765625,0.914646005235948,Test Film Sample (Converted to DWCNT),120.837890625,1.09222267170564
Test Film Sample (SWCNT),121.1962890625,0.932353349255947,Test Film Sample (Converted to DWCNT),121.1494140625,1.11775989575327
Test Film Sample (SWCNT),121.5078125,0.920736560486632,Test Film Sample (Converted to DWCNT),121.4609375,1.10032265818795
Test Film Sample (SWCNT),121.8193359375,0.871569127021318,Test Film Sample (Converted to DWCNT),121.771484375,0.938933141189333
Test Film Sample (SWCNT),122.1318359375,0.898551745721879,Test Film Sample (Converted to DWCNT),122.0830078125,1.10181074822601
Test Film Sample (SWCNT),122.443359375,0.823108255576033,Test Film Sample (Converted to DWCNT),122.39453125,0.9038108890406
Test Film Sample (SWCNT),122.7568359375,0.874103711916863,Test Film Sample (Converted to DWCNT),122.7060546875,1.06450808468244
Test Film Sample (SWCNT),123.068359375,0.859144784193856,Test Film Sample (Converted to DWCNT),123.015625,1.08979254516933
Test Film Sample (SWCNT),123.3798828125,0.826711636327139,Test Film Sample (Converted to DWCNT),123.326171875,1.28269870278195
Test Film Sample (SWCNT),123.69140625,0.885062729901241,Test Film Sample (Converted to DWCNT),123.6376953125,1.18978682339724
Test Film Sample (SWCNT),124.0029296875,0.845090745702128,Test Film Sample (Converted to DWCNT),123.94921875,1.1570028538803
Test Film Sample (SWCNT),124.3154296875,0.796815959527267,Test Film Sample (Converted to DWCNT),124.2607421875,0.883380591345123
Test Film Sample (SWCNT),124.6279296875,0.740649384829239,Test Film Sample (Converted to DWCNT),124.572265625,0.979487721510923
Test Film Sample (SWCNT),124.939453125,0.696200016847339,Test Film Sample (Converted to DWCNT),124.8837890625,0.802467322330937
Test Film Sample (SWCNT),125.2509765625,0.672201938146927,Test Film Sample (Converted to DWCNT),125.193359375,0.864056743426829
Test Film Sample (SWCNT),125.5615234375,0.65262142932622,Test Film Sample (Converted to DWCNT),125.5048828125,0.876201444687135
Test Film Sample (SWCNT),125.873046875,0.587705938037203,Test Film Sample (Converted to DWCNT),125.81640625,0.862497095758784
Test Film Sample (SWCNT),126.185546875,0.65029762522003,Test Film Sample (Converted to DWCNT),126.126953125,0.732535160537506
Test Film Sample (SWCNT),126.4990234375,0.666649571124672,Test Film Sample (Converted to DWCNT),126.4375,0.809099448117358
Test Film Sample (SWCNT),126.810546875,0.645770126512048,Test Film Sample (Converted to DWCNT),126.7490234375,0.827561510379698
Test Film Sample (SWCNT),127.1220703125,0.653605834568261,Test Film Sample (Converted to DWCNT),127.060546875,0.785719781204767
Test Film Sample (SWCNT),127.4326171875,0.653067957136392,Test Film Sample (Converted to DWCNT),127.3701171875,0.786843506172937
Test Film Sample (SWCNT),127.744140625,0.618607939830096,Test Film Sample (Converted to DWCNT),127.681640625,0.714770358413262
Test Film Sample (SWCNT),128.0556640625,0.613789060486357,Test Film Sample (Converted to DWCNT),127.9921875,0.685690627125271
Test Film Sample (SWCNT),128.369140625,0.640075624160449,Test Film Sample (Converted to DWCNT),128.302734375,0.706108064647731
Test Film Sample (SWCNT),128.6796875,0.607100279732602,Test Film Sample (Converted to DWCNT),128.6142578125,0.804071676983676
Test Film Sample (SWCNT),128.9912109375,0.615266730710409,Test Film Sample (Converted to DWCNT),128.923828125,0.85458394375284
Test Film Sample (SWCNT),129.302734375,0.60731382466154,Test Film Sample (Converted to DWCNT),129.2353515625,0.842635196393044
Test Film Sample (SWCNT),129.61328125,0.618004572658196,Test Film Sample (Converted to DWCNT),129.546875,0.753066655636697
Test Film Sample (SWCNT),129.9248046875,0.629559613470742,Test Film Sample (Converted to DWCNT),129.857421875,0.745321545389845
Test Film Sample (SWCNT),130.23828125,0.612698232975991,Test Film Sample (Converted to DWCNT),130.1689453125,0.828103640142033
Test Film Sample (SWCNT),130.55078125,0.571878832162864,Test Film Sample (Converted to DWCNT),130.4775390625,0.654243405695564
Test Film Sample (SWCNT),130.861328125,0.534092110496858,Test Film Sample (Converted to DWCNT),130.7890625,0.676594020045997
