Atom_number     X(nm)     Y(nm)     Z(nm)     
1     0.0000000000     0.0000000000     0.7573453146  
2     0.0650404570     0.1283100640     0.7517178560  
3     0.2607400685     0.0150953016     0.6532770965  
4     0.1986912427     0.1358577148     0.7010307989  
5     0.3439573706     0.0226429525     0.5370592368  
6     0.0521256222     0.3773825412     0.7537405190  
7     0.2511064191     0.2641677789     0.6621132113  
8     0.3660501453     0.1509530165     0.4756276599  
9     0.3584889108     0.0377382541     0.2566944536  
10     0.1874462922     0.3849301920     0.7076967733  
11     0.3382855271     0.2717154297     0.5488369411  
12     0.3759117073     0.1585006673     0.3330287123  
13     0.2877325859     0.0452859049     0.1324960126  
14     0.0391486682     0.6264550184     0.7553162065  
15     0.2411735214     0.5132402561     0.6706115446  
16     0.3624855185     0.4000254937     0.4882045260  
17     0.3624855185     0.2868107313     0.2691407885  
18     0.2411735214     0.1735959690     0.0867337699  
19     0.0391486682     0.0603812066     0.0020291081  
20     0.1759779585     0.6340026692     0.7139706434  
21     0.3322105424     0.5207879069     0.5604118574  
22     0.3772631695     0.4075731445     0.3460309304  
23     0.2960582050     0.2943583822     0.1425741172  
24     0.1157722835     0.1811436198     0.0181317307  
25    -0.1032588187     0.0679288574     0.0143505502  
26     0.0261250600     0.8755274956     0.7564430407  
27     0.2309532127     0.7623127333     0.6787619688  
28     0.3584889108     0.6490979709     0.5006508609  
29     0.3660501453     0.5358832085     0.2817176547  
30     0.2511064191     0.4226684462     0.0952321033  
31     0.0521256222     0.3094536838     0.0036047956  
32    -0.1642999084     0.1962389214     0.0375003819  
33    -0.3257396562     0.0830241591     0.1855751229  
34     0.1642999084     0.8830751465     0.7198449326  
35     0.3257396562     0.7698603841     0.5717701916  
36     0.3781650400     0.6566456217     0.3590720482  
37     0.3040310059     0.5434308594     0.1529335849  
38     0.1281477802     0.4302160970     0.0223425746  
39    -0.0906222985     0.3170013346     0.0110035392  
40    -0.2790640705     0.2037865723     0.1227112814  
41    -0.3741122640     0.0905718099     0.3200808889  
42     0.0130703181     1.1245999728     0.7571196789  
43     0.2204576726     1.0113852105     0.6865547710  
44     0.3540650852     0.8981704481     0.5129518321  
45     0.3691785432     0.7849556857     0.2944100639  
46     0.2607400685     0.6717409234     0.1040682181  
47     0.0650404570     0.5585261610     0.0056274585  
48    -0.1524260591     0.4453113986     0.0320326742  
49    -0.3188805798     0.3320966363     0.1744469067  
50    -0.3786162442     0.2188818739     0.3852087900  
51    -0.3116414874     0.1056671115     0.5937832444  
52     0.1524260591     1.1321476237     0.7253126404  
53     0.3188805798     1.0189328613     0.5828984079  
54     0.3786162442     0.9057180989     0.3721365245  
55     0.3116414874     0.7925033366     0.1635620701  
56     0.1403705608     0.6792885742     0.0269780639  
57    -0.0778777820     0.5660738118     0.0080946865  
58    -0.2700629891     0.4528590495     0.1132315841  
59    -0.3718669840     0.3396442871     0.3072028905  
60    -0.3492193135     0.2264295247     0.5250927803  
61    -0.2096994090     0.1132147624     0.6939806642  
62     0.2096994090     1.2604576877     0.6939806642  
63     0.3492193135     1.1472429253     0.5250927803  
64     0.3718669840     1.0340281629     0.3072028905  
65     0.2700629891     0.9208134006     0.1132315841  
66     0.0778777820     0.8075986382     0.0080946865  
67    -0.1403705608     0.6943838758     0.0269780639  
68    -0.3116414874     0.5811691135     0.1635620701  
69    -0.3786162442     0.4679543511     0.3721365245  
70    -0.3188805798     0.3547395887     0.5828984079  
71    -0.1524260591     0.2415248264     0.7253126404  
72     0.1403705608     1.3812201009     0.7303672507  
73     0.3116414874     1.2680053385     0.5937832444  
74     0.3786162442     1.1547905761     0.3852087900  
75     0.3188805798     1.0415758138     0.1744469067  
76     0.1524260591     0.9283610514     0.0320326742  
77    -0.0650404570     0.8151462890     0.0056274585  
78    -0.2607400685     0.7019315267     0.1040682181  
79    -0.3691785432     0.5887167643     0.2944100639  
80    -0.3540650852     0.4755020019     0.5129518321  
81    -0.2204576726     0.3622872396     0.6865547710  
82    -0.0130703181     0.2490724772     0.7571196789  
83     0.1986912427     1.5095301649     0.7010307989  
84     0.3439573706     1.3963154025     0.5370592368  
85     0.3741122640     1.2831006401     0.3200808889  
86     0.2790640705     1.1698858778     0.1227112814  
87     0.0906222985     1.0566711154     0.0110035392  
88    -0.1281477802     0.9434563530     0.0223425746  
89    -0.3040310059     0.8302415907     0.1529335849  
90    -0.3781650400     0.7170268283     0.3590720482  
91    -0.3257396562     0.6038120660     0.5717701916  
92    -0.1642999084     0.4905973036     0.7198449326  
93     0.1281477802     1.6302925781     0.7350027399  
94     0.3040310059     1.5170778157     0.6044117296  
95     0.3781650400     1.4038630533     0.3982732663  
96     0.3257396562     1.2906482910     0.1855751229  
97     0.1642999084     1.1774335286     0.0375003819  
98    -0.0521256222     1.0642187662     0.0036047956  
