Bond_number      Atom1      Atom2     
2  1  4  
82  4  5  
2  3  7  
3  8  10  
82  103  4  
10  11  5  
11  12  12  
13  6  7  
15  7  8  
16  8  9  
17  9  18  
20  103  124  
10  20  21  
11  21  22  
12  22  23  
13  23  24  
24  25  14  
15  27  15  
16  28  16  
17  29  17  
18  30  18  
19  31  19  
32  34  124  
142  20  34  
35  21  35  
36  22  36  
37  23  37  
38  24  38  
39  25  39  
40  40  41  
26  27  43  
27  28  44  
28  29  45  
29  30  46  
30  31  47  
31  32  48  
32  33  49  
33  50  52  
142  150  157  
34  52  53  
35  53  54  
36  54  55  
37  55  56  
38  56  57  
39  57  58  
40  58  59  
41  59  60  
60  61  42  
43  62  150  
43  44  63  
44  45  64  
45  46  65  
46  47  66  
47  48  67  
48  49  68  
49  50  69  
50  51  70  
51  71  52  
72  73  53  
73  74  54  
74  75  55  
75  76  56  
76  77  57  
77  78  58  
78  79  59  
79  80  60  
80  81  61  
81  82  62  
83  163  62  
63  84  63  
64  85  64  
65  86  65  
66  87  66  
67  88  67  
68  89  68  
69  90  69  
70  91  70  
71  92  2  
6  71  72  
93  94  73  
94  95  74  
95  96  75  
96  97  76  
97  98  77  
98  99  78  
99  100  79  
100  101  80  
101  102  81  
102  103  83  
104  172  83  
84  105  84  
85  106  85  
86  107  86  
87  108  87  
88  109  88  
89  110  89  
90  111  90  
91  112  91  
92  113  6  
14  92  93  
114  115  94  
115  116  95  
116  117  96  
117  118  97  
118  119  98  
119  120  99  
120  121  100  
121  122  101  
122  123  102  
123  124  104  
177  104  105  
125  105  106  
126  106  107  
127  107  108  
128  108  109  
129  109  110  
130  110  111  
131  111  112  
132  112  113  
133  14  26  
113  115  134  
116  134  135  
117  135  136  
118  136  137  
119  137  138  
120  138  139  
121  139  140  
122  140  141  
123  141  142  
125  126  126  
127  143  127  
128  144  128  
129  145  129  
130  146  130  
131  147  131  
132  148  132  
133  149  26  
42  133  150  
135  151  136  
151  152  137  
152  153  138  
153  154  139  
154  155  140  
155  156  141  
156  157  42  
52  142  157  
143  144  144  
145  158  145  
146  159  146  
147  160  147  
148  161  148  
149  162  42  
149  150  163  
152  164  153  
164  165  154  
165  166  155  
166  167  156  
167  168  72  
157  168  158  
159  159  160  
169  160  161  
170  161  162  
171  162  163  
172  165  173  
166  173  174  
167  174  175  
93  168  175  
169  170  170  
171  176  171  
172  177  174  
178  114  175  
178  176  177  
1  2  2  
2  3  3  
4  4  4  
5  5  6  
6  6  7  
7  7  8  
8  8  9  
9  10  10  
10  11  11  
11  12  12  
12  13  13  
14  14  14  
15  15  15  
16  16  16  
17  17  17  
18  18  18  
19  19  20  
20  20  21  
21  21  22  
22  22  23  
23  23  24  
24  24  25  
25  26  26  
26  27  27  
27  28  28  
28  29  29  
29  30  30  
30  31  31  
31  32  32  
32  33  33  
34  34  34  
35  35  35  
36  36  36  
37  37  37  
38  38  38  
39  39  39  
40  40  40  
41  41  42  
42  42  42  
43  43  43  
44  44  44  
45  45  45  
46  46  46  
47  47  47  
48  48  48  
49  49  49  
50  50  50  
51  51  52  
52  52  52  
53  53  53  
54  54  54  
55  55  55  
56  56  56  
57  57  57  
58  58  58  
59  59  59  
60  60  60  
61  61  62  
62  62  63  
63  63  64  
64  64  65  
65  65  66  
66  66  67  
67  67  68  
68  68  69  
69  69  70  
70  70  71  
71  71  72  
72  72  73  
73  73  74  
74  74  75  
75  75  76  
76  76  77  
77  77  78  
78  78  79  
79  79  80  
80  80  81  
81  81  82  
82  82  83  
83  83  84  
84  84  85  
85  85  86  
86  86  87  
87  87  88  
88  88  89  
89  89  90  
90  90  91  
91  91  92  
92  92  93  
93  93  94  
94  94  95  
95  95  96  
96  96  97  
97  97  98  
98  98  99  
99  99  100  
100  100  101  
101  101  102  
102  102  103  
103  103  104  
104  104  105  
105  105  106  
106  106  107  
107  107  108  
108  108  109  
109  109  110  
110  110  111  
111  111  112  
112  112  113  
113  113  114  
114  115  115  
115  116  116  
116  117  117  
117  118  118  
118  119  119  
119  120  120  
120  121  121  
121  122  122  
122  123  123  
123  124  124  
124  125  125  
126  126  126  
127  127  127  
128  128  128  
129  129  129  
130  130  130  
131  131  131  
132  132  132  
133  133  133  
134  134  135  
135  135  136  
136  136  137  
137  137  138  
138  138  139  
139  139  140  
140  140  141  
141  141  142  
142  142  142  
143  143  144  
144  144  145  
145  145  146  
146  146  147  
147  147  148  
148  148  149  
149  149  150  
150  150  150  
151  151  152  
152  152  153  
153  153  154  
154  154  155  
155  155  156  
156  156  157  
157  157  157  
158  158  159  
159  159  160  
160  160  161  
161  161  162  
162  162  163  
163  163  164  
164  165  165  
165  166  166  
166  167  167  
167  168  168  
168  169  169  
170  170  170  
171  171  171  
172  172  172  
173  173  174  
174  174  175  
175  175  176  
176  177  177  
177  178  178  
