XY
Wavenumber     
Intensity      
"Start : "194.194
"Stop  : "501.003
S25424a.m3d

501.003   0.325
500.711   0.375
500.421   0.225
500.13   0.5
499.838   0.575
499.545   0.4
499.255   0.45
498.964   0.6
498.674   0.825
498.382   0.45
498.09   0.5
497.798   0.425
497.508   0.55
497.216   0.4
496.924   0.4
496.633   0.35
496.342   0.475
496.05   0.75
495.758   0.325
495.468   0.425
495.176   0.55
494.884   0.725
494.592   0.225
494.301   0.65
494.01   1.15
493.719   0.425
493.425   0.75
493.135   0.6
492.844   0.6
492.551   0.625
492.259   0.65
491.968   0.775
491.677   0.475
491.384   0.55
491.092   0.6
490.801   0.7
490.509   0.6
490.216   0.85
489.925   0.7
489.634   0.75
489.343   0.625
489.049   0.75
488.758   0.925
488.467   0.65
488.173   0.8
487.882   0.8
487.591   0.925
487.299   1.4
487.006   1.625
486.714   3.025
486.422   5.925
486.129   11.275
485.838   18.125
485.547   26.025
485.254   35.9
484.961   46.9
484.67   53.075
484.378   61.25
484.085   65.325
483.794   67.2
483.501   71
483.208   69.975
482.917   72.55
482.624   70.95
482.331   70.725
482.04   72.2
481.747   72.525
481.456   72.4
481.163   72.4
480.87   73.575
480.578   71.5
480.286   71.7
479.993   74.35
479.7   72.9
479.409   74.625
479.116   73.6
478.823   76.175
478.531   75.55
478.237   73.85
477.945   74.825
477.653   73.65
477.36   76.925
477.068   73.8
476.776   74.95
476.484   76.175
476.191   75.65
475.898   75.4
475.604   75.275
475.312   75.725
475.02   76.05
474.727   75.575
474.436   77.2
474.142   78.175
473.849   77.55
473.556   76.675
473.263   77.5
472.972   77.725
472.679   78.325
472.385   78.05
472.093   77.25
471.799   77.65
471.508   76.875
471.212   77.5
470.921   77.4
470.629   78.375
470.334   79.3
470.042   78.375
469.747   76.65
469.455   78.05
469.163   76.825
468.87   76.625
468.577   77.5
468.283   77.65
467.99   77.025
467.696   77.425
467.403   77.3
467.112   76.725
466.818   76.625
466.525   76.675
466.231   76.9
465.938   78.125
465.645   77.1
465.351   77.825
465.06   76.575
464.766   77.125
464.473   78.125
464.181   78.4
463.885   76.575
463.594   77.9
463.298   75.875
463.007   77.7
462.712   78.325
462.419   76.7
462.126   78.1
461.832   77.25
461.538   77.425
461.244   78.8
460.951   76.425
460.658   78.375
460.365   78.6
460.07   78.5
459.778   76.95
459.483   77.625
459.19   75.825
458.896   76.5
458.604   76.875
458.311   76.5
458.017   77.475
457.723   77.45
457.429   76.575
457.134   76.575
456.841   76.6
456.547   76.4
456.253   77.675
455.961   76.8
