XY
Wavenumber     
Intensity      
"Start : "194.194
"Stop  : "501.003
S25424b.m3d

501.003   0.325
500.711   -0.125
500.421   0.175
500.13   0.075
499.838   0.3
499.545   0.425
499.255   0.4
498.964   0.275
498.674   0.25
498.382   0.4
498.09   0.325
497.798   0.35
497.508   0.325
497.216   0.35
496.924   -0.025
496.633   0.475
496.342   0.375
496.05   0.325
495.758   0.325
495.468   0.475
495.176   0.425
494.884   0.05
494.592   0.4
494.301   0.225
494.01   0.075
493.719   0.45
493.425   0.325
493.135   0.1
492.844   0.45
492.551   0.525
492.259   0.425
491.968   0.25
491.677   0.65
491.384   0.325
491.092   0.225
490.801   0.1
490.509   0.425
490.216   0.4
489.925   0.25
489.634   0.3
489.343   0.3
489.049   0.425
488.758   0.65
488.467   0.6
488.173   0.4
487.882   0.3
487.591   0.475
487.299   1.075
487.006   1.225
486.714   1.95
486.422   4.775
486.129   9.2
485.838   14.375
485.547   21.325
485.254   28.15
484.961   36.125
484.67   41.3
484.378   44.925
484.085   48.6
483.794   50.1
483.501   52.125
483.208   52.55
482.917   52.45
482.624   53.35
482.331   52.625
482.04   53.325
481.747   53.95
481.456   54.875
481.163   53.5
480.87   54.375
480.578   54.175
480.286   53.25
479.993   55.325
479.7   53.65
479.409   54.1
479.116   54.825
478.823   54.925
478.531   55.425
478.237   55.35
477.945   54.675
477.653   54.475
477.36   56.225
477.068   54.15
476.776   55.025
476.484   54.8
476.191   54.925
475.898   56.125
475.604   55.05
475.312   56.25
475.02   55.625
474.727   55.9
474.436   55.7
474.142   56.15
473.849   57.2
473.556   55.525
473.263   56.35
472.972   55.45
472.679   55.85
472.385   56.15
472.093   55.225
471.799   55.85
471.508   55.625
471.212   57.4
470.921   55.775
470.629   56.2
470.334   57.025
470.042   56.875
469.747   55.625
469.455   57.375
469.163   55.025
468.87   55.55
468.577   57.125
468.283   56.375
467.99   56.325
467.696   55.625
467.403   56.4
467.112   56.575
466.818   56.5
466.525   56.1
466.231   56.675
465.938   56.875
465.645   55.2
465.351   56.575
