XY
Wavenumber     
Intensity      
"Start : "1423.93
"Stop  : "1672.31
S25424c.m3d

1672.31   0.35
1672.08   0.35
1671.84   0.875
1671.61   1.075
1671.37   0.625
1671.13   0.575
1670.9   0.7
1670.66   0.225
1670.43   0.375
1670.19   0.475
1669.95   0.375
1669.72   0.725
1669.48   0.7
1669.24   0.2
1669.01   0.45
1668.77   0.25
1668.54   0.575
1668.3   0.575
1668.06   0.225
1667.83   0.6
1667.59   0.625
1667.35   0.5
1667.12   0.75
1666.88   0.625
1666.65   0.425
1666.41   0.875
1666.17   0.575
1665.94   0.475
1665.7   0.9
1665.46   1.025
1665.23   0.775
1664.99   0.575
1664.76   0.925
1664.52   0.825
1664.28   0.7
1664.04   0.525
1663.81   0.55
1663.57   0.525
1663.34   0.575
1663.1   0.625
1662.86   0.85
1662.63   0.9
1662.39   1.1
1662.15   0.775
1661.92   0.625
1661.68   0.575
1661.44   0.95
1661.21   0.8
1660.97   0.95
1660.73   0.575
1660.5   0.75
1660.26   0.975
1660.02   0.85
1659.79   0.575
1659.55   0.75
1659.31   0.675
1659.08   1.05
1658.84   1.05
1658.6   1.075
1658.37   1.1
1658.13   1.425
1657.89   1.6
1657.66   1.6
1657.42   1.675
1657.18   2.35
1656.95   5.075
1656.71   9.85
1656.47   18.4
1656.24   28.675
1656   39.75
1655.76   54.2
1655.53   66
1655.29   78.375
1655.05   85.7
1654.81   89.225
1654.58   94.1
1654.34   96.475
1654.1   95.975
1653.87   96.7
1653.63   96.2
1653.39   97.15
1653.15   96.9
1652.92   97.45
1652.68   97.175
1652.44   97.875
1652.21   98.175
1651.97   98.5
1651.73   95.15
1651.5   98.875
1651.26   97.5
1651.02   95.775
1650.78   96.1
1650.55   94.675
1650.31   95.45
1650.07   94.575
1649.83   96.65
1649.6   94.875
1649.36   93.375
1649.12   93.475
1648.89   92.95
1648.65   94.3
1648.41   95.375
1648.17   92.425
1647.94   92.375
1647.7   91.35
1647.46   92.4
1647.23   92.475
1646.99   91.525
1646.75   92.925
1646.51   91.475
1646.27   90.925
1646.04   90.375
1645.8   92.1
1645.56   94.025
1645.33   91.875
1645.09   91.15
1644.85   92.925
1644.61   89.175
1644.38   92.05
1644.14   92.475
1643.9   90.625
1643.66   89.6
1643.43   91.525
1643.19   89.7
1642.95   89.425
1642.71   91.65
1642.47   91.575
1642.24   90.1
1642   89.75
1641.76   90.275
1641.52   91.025
1641.29   92.575
1641.05   89.925
1640.81   90.325
1640.57   89.95
1640.33   89.15
1640.1   89.475
1639.86   90.75
1639.62   89.4
1639.38   90.975
1639.15   93.075
1638.91   90.575
1638.67   92.2
1638.43   92.85
1638.2   92.575
1637.96   92.825
1637.72   91.75
1637.48   93.375
1637.24   91.45
1637   93.05
1636.77   91.625
1636.53   93.15
1636.29   91.425
1636.05   92.375
1635.82   92.225
1635.58   91.775
1635.34   93.85
1635.1   93.15
1634.86   92.475
1634.63   93.825
1634.39   93.925
1634.15   94.525
1633.91   94.85
1633.67   92.175
1633.44   94.1
1633.2   96.425
1632.96   95.1
1632.72   93.55
1632.48   94.5
1632.24   94.7
1632   95.9
1631.77   95.75
1631.53   93.8
1631.29   95.425
1631.05   96.575
1630.81   95.575
1630.58   97.375
1630.34   97.075
1630.1   94.9
1629.86   97.125
1629.62   96.5
1629.39   97.725
1629.15   96.425
1628.91   99.2
1628.67   97.725
1628.43   96.75
1628.19   97.85
1627.95   99.7
1627.72   100.3
1627.48   100.625
1627.24   97.85
1627   98.5
1626.76   98.3
1626.52   100.225
1626.28   99.475
1626.05   100.175
1625.81   101.325
1625.57   101.375
1625.33   101.925
1625.09   102.925
1624.85   102.375
1624.61   101.725
1624.38   101.875
1624.14   103.65
1623.9   103.925
1623.66   102.95
1623.42   104.9
1623.18   102.275
1622.94   104.35
1622.71   103.675
1622.47   103.825
1622.23   107.4
1621.99   105.525
1621.75   108.15
1621.51   107.875
1621.27   107.925
1621.03   106.55
1620.79   107.625
1620.55   107.725
1620.32   107.9
1620.08   108.525
1619.84   111.475
1619.6   109.325
1619.36   111.05
1619.12   110.625
1618.88   112.425
1618.64   112.225
1618.41   113.225
1618.17   113.25
1617.93   112.875
1617.69   114.9
1617.45   114.05
1617.21   113.825
1616.97   117.225
1616.73   117.475
1616.49   118.425
1616.25   117.175
1616.02   119.45
1615.78   118.975
1615.54   119.35
1615.3   120
1615.06   121.65
1614.82   122.45
1614.58   122.725
1614.34   124.025
1614.1   125.4
1613.86   123.075
1613.62   124.975
1613.38   125.825
1613.14   124.5
1612.9   125.2
1612.67   130.425
1612.43   128.5
1612.19   129
1611.95   131.75
1611.71   130.025
1611.47   134
1611.23   134.525
1610.99   135.075
1610.75   135.625
1610.51   139.4
1610.27   140.375
1610.03   138.475
1609.79   140.75
1609.55   143.575
1609.32   143.525
1609.08   147.25
1608.84   145.725
1608.6   150.2
1608.36   150.75
1608.12   153.35
1607.88   153.4
1607.64   154.425
1607.4   155.3
1607.16   158.6
1606.92   159.1
1606.68   161.75
1606.44   164
1606.2   164.75
1605.96   168.025
1605.72   168.075
1605.48   170.325
1605.24   174.825
1605   176.3
1604.76   176.575
1604.52   181.5
1604.28   183.95
1604.04   187.275
1603.8   188.25
1603.56   192
1603.32   194.025
1603.08   197.075
1602.85   205.75
1602.6   202.375
1602.36   209.5
1602.12   213.275
1601.88   214.35
1601.64   221.025
1601.41   227.275
1601.17   229.775
1600.92   237.175
1600.69   244.975
1600.45   245.475
1600.21   253.6
1599.96   258.675
1599.72   264.075
1599.48   273.875
1599.25   280.05
1599.01   287.025
1598.76   295.125
1598.53   304.075
1598.29   307.5
1598.04   316.125
1597.8   326.575
1597.56   341.45
1597.32   351.575
1597.08   360.575
1596.84   378.975
1596.6   394.375
1596.36   407.25
1596.12   424.875
1595.88   445.875
1595.64   463.25
1595.4   493.05
1595.16   505.425
1594.92   533.7
1594.68   560.575
1594.44   591.65
1594.2   617.775
1593.96   648.575
1593.72   695.85
1593.48   729.275
1593.24   775.125
1593   832.525
1592.76   878.3
1592.52   944.775
1592.28   1000.58
1592.04   1062.05
1591.8   1121.95
1591.56   1192.62
1591.32   1247.15
1591.08   1315.57
1590.83   1370.5
1590.6   1422.45
1590.35   1461.55
1590.11   1501
1589.87   1526.53
1589.63   1551.2
1589.39   1561.15
1589.15   1550.55
1588.91   1528.62
1588.67   1517.55
1588.43   1482.55
1588.19   1438.4
1587.95   1391.12
1587.71   1343.88
1587.47   1297.68
1587.23   1242.45
1586.99   1176.93
1586.75   1130.57
1586.5   1074.77
1586.26   1022.15
1586.02   990.025
1585.78   933.7
1585.54   891.075
1585.3   844.925
1585.06   810.75
1584.82   773.45
1584.58   733.25
1584.34   701.975
1584.1   661.725
1583.86   639.1
1583.62   605.175
1583.37   578.225
1583.13   557.35
1582.89   531.95
1582.65   506.325
1582.41   485.55
1582.17   467.675
1581.93   447.725
1581.69   428.725
1581.45   413.225
1581.21   398.375
