XY
Wavenumber     
Intensity      
"Start : "1219.22
"Stop  : "1477.06
S25424d.m3d

1477.06   0.05
1476.82   0.125
1476.57   0.275
1476.33   0.175
1476.08   0.35
1475.84   0.35
1475.59   0.05
1475.35   0.225
1475.1   0.175
1474.85   -3.72529e-09
1474.61   0.35
1474.37   -0.025
1474.12   0.375
1473.88   0.25
1473.63   0.2
1473.39   0.125
1473.14   0
1472.9   0.425
1472.65   0.05
1472.41   0.1
1472.16   0.05
1471.91   0.075
1471.67   0.325
1471.42   0.375
1471.18   0.425
1470.93   0.225
1470.69   0.325
1470.44   0.125
1470.2   0.2
1469.95   0.475
1469.71   0.625
1469.46   0.45
1469.21   0.225
1468.97   0.25
1468.73   0.175
1468.48   0.175
1468.24   0.475
1467.99   0.325
1467.74   0.375
1467.5   0.4
1467.25   0
1467.01   0.25
1466.76   0.45
1466.52   0.05
1466.27   0.325
1466.03   0.075
1465.78   0.2
1465.53   0.425
1465.29   0.425
1465.04   0.6
1464.8   0.2
1464.55   0.525
1464.31   0.525
1464.06   0.4
1463.82   0.35
1463.57   0.725
1463.32   0.65
1463.08   0.65
1462.83   0.85
1462.58   0.9
1462.34   1.1
1462.09   1.625
1461.85   3.4
1461.6   6.875
1461.36   12.275
1461.11   20.45
1460.86   29.075
1460.62   39.125
1460.37   45.425
1460.13   51.85
1459.88   58.075
1459.64   60.2
1459.39   62.725
1459.14   63.75
1458.9   62.4
1458.65   64.75
1458.41   63.8
1458.16   64.5
1457.92   64.125
1457.67   63
1457.42   64.875
1457.18   65.65
1456.93   64.525
1456.68   65.275
1456.44   65.55
1456.19   64.625
1455.95   65.95
1455.7   63.925
1455.45   66.075
1455.21   65.3
1454.96   64.525
1454.71   64.75
1454.47   65.525
1454.22   66.6
1453.98   65.275
1453.73   64.65
1453.49   66.25
1453.24   65.575
1452.99   65.15
1452.75   64.825
1452.5   65.95
1452.25   65.55
1452.01   65.4
1451.76   64.85
1451.51   65.025
1451.27   64.2
1451.02   64.525
1450.77   64.6
1450.53   64.325
1450.28   64.2
1450.04   65.525
1449.79   66
1449.54   64.675
1449.29   65.25
1449.05   64.1
1448.8   63.875
1448.56   64.025
1448.31   64.15
1448.06   64.775
1447.82   64.95
1447.57   63.35
1447.32   62.675
1447.08   64.25
1446.83   61.9
1446.58   64.775
1446.34   63.55
1446.09   63.45
1445.84   63.525
1445.6   63.825
1445.35   62.25
1445.1   63.075
1444.86   63.2
1444.61   63.375
1444.36   64.225
1444.12   62.975
1443.87   63.8
1443.62   63.575
1443.38   65.15
1443.13   63.925
1442.88   63.15
1442.63   64.2
1442.39   63.2
1442.14   62.725
1441.9   62.625
1441.65   63.225
1441.4   63.55
1441.15   64.075
1440.91   62.45
1440.66   61.875
1440.41   63.3
1440.17   63.325
1439.92   63.925
1439.67   63.775
1439.42   62.025
1439.18   64.2
1438.93   62.075
1438.68   64.2
1438.44   63.675
1438.19   63.3
1437.94   63.075
1437.7   62.925
1437.45   63.8
1437.2   61.75
1436.95   62.4
1436.71   63.325
1436.46   62.9
1436.21   63.1
1435.97   63.3
1435.72   63.4
1435.47   62.625
1435.22   62.525
1434.98   62.525
1434.73   61.925
1434.48   64.025
1434.23   63.775
1433.99   65.375
1433.74   62.775
1433.49   63.025
1433.25   61.95
1433   63
1432.75   62.2
1432.5   63.775
1432.25   62.35
1432.01   62.775
1431.76   63.375
1431.51   63.75
1431.27   62.875
1431.02   63.025
1430.77   62.05
1430.52   63.675
1430.28   62.025
1430.03   62.5
1429.78   62.775
1429.53   61.725
1429.29   63.95
1429.04   62
1428.79   62.675
1428.54   63.8
1428.29   64.15
1428.05   63.35
1427.8   61.475
1427.55   62.875
1427.3   63.05
1427.06   63.675
1426.81   62.325
1426.56   63.925
1426.31   63.775
1426.07   62.925
1425.82   62.65
1425.57   63.85
1425.32   61.65
1425.07   62.95
1424.83   62.5
1424.58   63.625
1424.33   62.775
1424.08   62.75
1423.83   61.35
1423.59   63.55
1423.34   62.425
1423.09   62.4
1422.84   63.85
1422.59   65.025
1422.35   62.675
1422.1   62.1
1421.85   63.1
1421.6   63.45
1421.36   64.85
1421.11   61.925
1420.86   62.7
1420.61   62.725
1420.36   63.275
1420.11   62.35
1419.87   62.85
1419.62   63.425
1419.37   62.275
1419.12   62.725
1418.87   63.525
1418.62   62.55
1418.38   63.025
1418.13   63.675
1417.88   64.3
1417.63   62.9
1417.38   63.05
1417.14   61.725
1416.89   63.85
1416.64   62.075
1416.39   63.275
1416.14   61.775
1415.89   62.625
1415.65   62.425
1415.4   64
1415.15   62.775
1414.9   63.525
1414.65   61.175
1414.4   62.525
1414.16   62.85
1413.91   61.975
1413.66   64
1413.41   62.975
1413.16   61.5
1412.91   63.55
1412.67   63.825
1412.42   62.475
1412.17   63.65
1411.92   64
1411.67   62.875
1411.42   63.425
1411.17   63.1
1410.92   62.225
1410.68   63.775
1410.43   63.1
1410.18   63.575
1409.93   62.225
1409.68   63.325
1409.43   61.9
1409.18   61.8
1408.94   62.825
1408.69   63.275
1408.44   62.425
1408.19   63.05
1407.94   63.325
1407.69   63.325
1407.44   62.425
1407.19   63.275
1406.95   63.7
1406.7   62.875
1406.45   64.3
1406.2   63.45
1405.95   62.075
1405.7   64.5
1405.45   61.75
1405.2   62.525
1404.95   63.05
1404.71   64.175
1404.46   64.35
1404.21   62.175
1403.96   62.9
1403.71   62.425
1403.46   62.6
1403.21   63.075
1402.96   62.425
1402.71   64.75
1402.46   62.9
1402.22   62.825
1401.97   63.25
1401.72   63.35
1401.47   63.65
1401.22   62.9
1400.97   63.625
1400.72   62.65
1400.47   64.2
1400.22   62.975
1399.97   61.75
1399.72   63.075
1399.47   62.075
1399.22   61.75
1398.98   62.175
1398.73   62.325
1398.48   62.025
1398.23   61.55
1397.98   63.7
1397.73   63.2
1397.48   63
1397.23   63.925
1396.98   63.775
1396.73   63.8
1396.48   62.425
1396.23   63.425
1395.98   62.65
1395.73   61.1
1395.49   62.55
1395.24   62.9
1394.98   62
1394.74   64.3
1394.49   61.75
1394.24   62.35
1393.99   63.075
1393.74   61.875
1393.49   63.35
1393.24   63.5
1392.99   62.95
1392.74   64.1
1392.49   62.575
1392.24   63.325
1391.99   63.6
1391.74   62.875
1391.49   62.65
1391.24   62.225
1390.99   63.675
1390.74   63.25
1390.49   63.825
1390.24   63.225
1389.99   63.175
1389.74   62.975
1389.49   63.325
1389.24   63.35
1388.99   64.075
1388.74   63.45
1388.49   64.525
1388.24   61.825
1387.99   63.225
1387.74   62.95
1387.49   63.85
1387.24   63.75
1386.99   64.475
1386.74   63.975
1386.49   64.475
1386.24   62.6
1385.99   63.95
1385.74   63.9
1385.5   62.55
1385.24   64.775
1384.99   63.425
1384.74   63.375
1384.49   64.2
1384.24   64.15
1383.99   63.975
1383.74   63.55
1383.49   64.1
1383.24   63.975
1382.99   64.425
1382.74   63.825
1382.49   63.575
1382.24   63.925
1381.99   64.05
1381.74   64.1
1381.49   63.775
1381.24   62.1
1380.99   62.575
1380.74   64.8
1380.49   64.25
1380.24   64.3
1379.99   65.05
1379.74   65.275
1379.49   63.925
1379.24   64.525
1378.99   63.3
1378.74   63.825
1378.49   63.3
1378.24   65.35
1377.99   64.825
1377.74   64.675
1377.49   63.975
1377.23   64.575
1376.99   65.425
1376.73   64.7
1376.48   64.375
1376.23   64.8
1375.98   63.625
1375.73   65.05
1375.48   65
1375.23   64.125
1374.98   65.4
1374.73   64.475
1374.48   64.75
1374.23   64.85
1373.98   65.825
1373.73   63.025
1373.48   66.45
1373.22   65.675
1372.98   65.65
1372.72   64.65
1372.47   63.725
1372.22   64.9
1371.97   64.575
1371.72   65.2
1371.47   64.825
1371.22   65.3
1370.97   64.125
1370.72   64.2
1370.47   64.325
1370.22   65.55
1369.96   65.8
1369.71   64.925
1369.46   63.7
1369.21   63.825
1368.96   65.325
1368.71   65.175
1368.46   64.675
1368.21   64.825
1367.96   65.3
1367.71   64.3
1367.46   64.875
1367.2   65.125
1366.95   65.15
1366.7   64.025
1366.45   65.275
1366.2   65.6
1365.95   65.1
1365.7   65.325
1365.45   64.575
1365.2   64.15
1364.94   65.025
1364.69   67.25
1364.44   66.55
1364.19   63.975
1363.94   66.4
1363.69   65
1363.44   64.825
1363.19   65.975
1362.93   64.45
1362.68   65.325
1362.43   65.875
1362.18   63.7
1361.93   64.725
1361.68   66.575
1361.43   64.775
1361.17   66.125
1360.92   65.575
1360.67   63.65
1360.42   66.1
1360.17   65.25
1359.92   65.1
1359.67   63.975
1359.41   64.875
1359.16   64.875
1358.91   65.05
1358.66   64
1358.41   65.65
1358.16   65.6
1357.91   64.575
1357.65   65.15
1357.4   65.1
1357.15   64.925
1356.9   64.95
1356.65   65.9
1356.4   66.35
1356.14   66.775
1355.89   65.8
1355.64   65.35
1355.39   66.175
1355.14   65.225
1354.89   66.225
1354.63   65.15
1354.38   67.525
1354.13   65.15
1353.88   65.6
1353.63   66.95
1353.38   66.125
1353.12   66.45
1352.87   67.25
1352.62   66.125
1352.37   65.1
1352.12   66.4
1351.86   66.075
1351.61   66.325
1351.36   66.8
1351.11   66.725
1350.86   67.6
1350.6   67.075
1350.35   66.7
1350.1   68.1
1349.85   66.05
1349.6   67.4
1349.34   67.625
1349.09   66.025
1348.84   67
1348.59   68.05
1348.34   66.775
1348.08   67.275
1347.83   67.475
1347.58   67.175
1347.33   67.175
1347.08   66.45
1346.82   67.575
1346.57   68.025
1346.32   69.1
1346.07   68.15
1345.81   67.5
1345.56   66.3
1345.31   69.25
1345.06   68.125
1344.81   68.175
1344.55   67.875
1344.3   67.275
1344.05   67.05
1343.8   68.175
1343.54   69.175
1343.29   69.3
1343.04   67.3
1342.79   66.15
1342.53   66.525
1342.28   67.8
1342.03   68.5
1341.78   67.8
1341.52   68.825
1341.27   67.25
1341.02   67.375
1340.77   68.425
1340.51   68.05
1340.26   69.3
1340.01   68.225
1339.76   67.875
1339.5   68.1
1339.25   66.95
1339   69.375
1338.75   68.9
1338.49   68.375
1338.24   67.275
1337.99   69.425
1337.73   67.175
1337.48   69.35
1337.23   67.275
1336.98   67.575
1336.72   67.025
1336.47   69.175
1336.22   68.5
1335.97   68.425
1335.71   68.075
1335.46   68.85
1335.21   68.475
1334.96   66.95
1334.7   69.25
1334.45   69.325
1334.2   69.625
1333.94   68.625
1333.69   67.9
1333.44   70.025
1333.18   69.225
1332.93   68.95
1332.68   69.975
1332.43   68.6
1332.17   67.55
1331.92   69.175
1331.67   70.1
1331.41   69.35
1331.16   70.55
1330.91   68.175
1330.65   68.925
1330.4   71.45
1330.15   69.275
1329.9   70.35
1329.64   69.775
1329.39   69.8
1329.14   69.2
1328.88   68.675
1328.63   69.325
1328.38   71
1328.12   69.275
1327.87   69
1327.62   70.775
1327.36   69.55
1327.11   69.8
1326.86   70.9
1326.6   71.5
1326.35   69.275
1326.1   70.55
1325.84   70.225
1325.59   72
1325.34   70.45
1325.08   70.925
1324.83   71.075
1324.58   70.65
1324.32   69.775
1324.07   71.125
1323.82   71.4
1323.56   70.625
1323.31   71.025
1323.05   71.225
1322.8   70.4
1322.55   72.375
1322.29   71.925
1322.04   71.25
1321.79   69.35
1321.53   71.65
1321.28   71.25
1321.03   70.775
1320.77   70.8
1320.52   70
1320.27   70.65
1320.01   70.775
1319.76   70.575
1319.51   71.15
1319.25   70.925
1319   72.6
1318.74   70.9
1318.49   70.275
1318.24   70.35
1317.98   70.3
1317.73   72
1317.48   71.45
1317.22   72.35
1316.97   72.35
1316.71   71.75
1316.46   74.175
1316.21   71.55
1315.95   72.85
1315.7   72.05
1315.44   73.175
1315.19   73.45
1314.94   73.825
1314.68   73.85
1314.43   72.075
1314.17   74
1313.92   73.825
1313.67   74.55
1313.41   73.25
1313.16   74.2
1312.9   73.55
1312.65   74.05
1312.4   74.825
1312.14   72.5
1311.89   73.125
1311.63   75.2
1311.38   74.6
1311.12   75.2
1310.87   73.85
1310.62   76.25
1310.36   76.325
1310.11   77.125
1309.85   76.125
1309.6   77.45
1309.35   76.85
1309.09   78.85
1308.84   81.075
1308.58   80.175
1308.33   79.575
1308.07   79.35
1307.82   81.875
1307.56   79.3
1307.31   82.125
1307.06   82.1
1306.8   83.475
1306.55   82.45
1306.29   82.025
1306.04   84.925
1305.78   83.325
1305.53   82.45
1305.28   84.65
1305.02   86.475
1304.77   83.425
1304.51   85.775
1304.26   86.425
1304   85.7
1303.75   85.05
1303.49   84.825
1303.24   87.675
