XY
Wavenumber     
Intensity      
"Start : "1219.22
"Stop  : "1477.06
S25424e.m3d

1477.06   0.3
1476.82   0.2
1476.57   0.175
1476.33   0.125
1476.08   0.1
1475.84   0.025
1475.59   0.175
1475.35   0.025
1475.1   0.1
1474.85   0.25
1474.61   -0.075
1474.37   0.45
1474.12   0.25
1473.88   0.1
1473.63   0.425
1473.39   0.025
1473.14   0.2
1472.9   0.125
1472.65   -0.05
1472.41   0.05
1472.16   0.2
1471.91   0.375
1471.67   0.6
1471.42   0.15
1471.18   0.15
1470.93   0.125
1470.69   0.275
1470.44   0.325
1470.2   0.15
1469.95   0.25
1469.71   0.275
1469.46   0.125
1469.21   0.25
1468.97   0.25
1468.73   0.375
1468.48   0.3
1468.24   0.275
1467.99   0.25
1467.74   0.475
1467.5   0.4
1467.25   0.2
1467.01   0.1
1466.76   0.25
1466.52   0.075
1466.27   0.1
1466.03   0.275
1465.78   0.5
1465.53   0.275
1465.29   0.475
1465.04   0.475
1464.8   0.6
1464.55   0.575
1464.31   0.15
1464.06   0.275
1463.82   0.425
1463.57   0.55
1463.32   0.6
1463.08   0.45
1462.83   0.65
1462.58   0.625
1462.34   1.375
1462.09   1.875
1461.85   3.55
1461.6   7.425
1461.36   12.65
1461.11   20.425
1460.86   28.975
1460.62   37.575
1460.37   44.975
1460.13   51.65
1459.88   56.275
1459.64   59.625
1459.39   62.5
1459.14   62.775
1458.9   63.05
1458.65   62.75
1458.41   63.4
1458.16   63.25
1457.92   63.425
1457.67   62.775
1457.42   62.825
1457.18   64
1456.93   63.475
1456.68   64.675
1456.44   64.55
1456.19   63
1455.95   64.475
1455.7   62.375
1455.45   63.475
1455.21   62.8
1454.96   62.6
1454.71   63.95
1454.47   62.925
1454.22   65.85
1453.98   63.625
1453.73   63.075
1453.49   63.65
1453.24   64.25
1452.99   63.35
1452.75   63.225
1452.5   63.95
1452.25   64.325
1452.01   64.45
1451.76   63.825
1451.51   62.975
1451.27   64.65
1451.02   62.975
1450.77   62.1
1450.53   64.025
1450.28   63.875
1450.04   62.65
1449.79   63.625
1449.54   63.35
1449.29   63.55
1449.05   63.675
1448.8   62.875
1448.56   63.625
1448.31   62.575
1448.06   62.8
1447.82   63.575
1447.57   61.425
1447.32   63.2
1447.08   63.175
1446.83   62.325
1446.58   62.975
1446.34   61.925
1446.09   62.35
1445.84   60.9
1445.6   62.55
1445.35   62.65
1445.1   62.975
1444.86   61.825
1444.61   61.275
1444.36   61.275
1444.12   62.55
1443.87   62.375
1443.62   61.7
1443.38   62.475
1443.13   61.95
1442.88   62.625
1442.63   63.15
1442.39   60.775
1442.14   62.9
1441.9   61.075
1441.65   61.6
1441.4   61.625
1441.15   61.475
1440.91   62
1440.66   62.15
1440.41   61.725
1440.17   62.05
1439.92   62.75
1439.67   60.925
1439.42   63.45
1439.18   61.975
1438.93   63
1438.68   62.275
1438.44   60.375
1438.19   61.15
1437.94   62.6
1437.7   62.225
1437.45   60.9
1437.2   62.05
1436.95   61.05
1436.71   61.05
1436.46   61.15
1436.21   60.875
1435.97   62.525
1435.72   60.775
1435.47   61.375
1435.22   61.225
1434.98   60.9
1434.73   60.825
1434.48   62.575
1434.23   62.875
1433.99   61.375
1433.74   62.375
1433.49   61.725
1433.25   61.525
1433   62.675
1432.75   62.375
1432.5   61.225
1432.25   62.125
1432.01   61.9
1431.76   62.175
1431.51   62.775
1431.27   63.15
1431.02   62.85
1430.77   62.075
1430.52   62.525
1430.28   60.75
1430.03   62.425
1429.78   61.75
1429.53   62.35
1429.29   60.65
1429.04   62.125
1428.79   62.325
1428.54   61.2
1428.29   62.225
1428.05   62.15
1427.8   62.35
1427.55   61.5
1427.3   61.65
1427.06   61.425
1426.81   61.35
1426.56   61.925
1426.31   62.45
1426.07   62.2
1425.82   60.95
1425.57   60.725
1425.32   60.875
1425.07   61.8
1424.83   60.775
1424.58   61.85
1424.33   61.1
1424.08   62.025
1423.83   62.1
1423.59   62.75
1423.34   61.05
1423.09   60.5
1422.84   63.1
1422.59   61.25
1422.35   61.575
1422.1   61.575
1421.85   62.05
1421.6   61.05
1421.36   62.3
1421.11   62.775
1420.86   61.9
1420.61   60.3
1420.36   60.65
1420.11   61.075
1419.87   61.225
1419.62   63.2
1419.37   61.625
1419.12   61.6
1418.87   61.375
1418.62   61.725
1418.38   60.225
1418.13   60.175
1417.88   61.1
1417.63   61.6
1417.38   62.175
1417.14   61.875
1416.89   62.3
1416.64   60.85
1416.39   63.225
1416.14   61.875
1415.89   62
1415.65   60.175
1415.4   61.025
1415.15   62.25
1414.9   59.725
1414.65   61.175
1414.4   60.25
1414.16   60.95
1413.91   61.8
1413.66   62.7
1413.41   61.4
1413.16   63.2
1412.91   61.875
1412.67   61.875
1412.42   62.075
1412.17   63.025
1411.92   62.4
1411.67   62.725
1411.42   61.675
1411.17   62.9
1410.92   60.525
1410.68   62.175
1410.43   62.325
1410.18   60.75
1409.93   62.875
1409.68   62.55
1409.43   63.1
1409.18   62.575
1408.94   62.75
1408.69   61.575
1408.44   64.025
1408.19   62
1407.94   62.1
1407.69   61.925
1407.44   61.9
1407.19   62.4
1406.95   61.125
1406.7   62.2
1406.45   62.925
1406.2   60.9
1405.95   62.775
1405.7   62.425
1405.45   62.225
1405.2   61.75
1404.95   62.775
1404.71   61.9
1404.46   62.325
1404.21   61.325
1403.96   61.35
1403.71   62.4
1403.46   61.35
1403.21   61.6
1402.96   62.05
1402.71   62.075
1402.46   62.3
1402.22   62.25
1401.97   60.975
1401.72   60.675
1401.47   61.125
1401.22   61.6
1400.97   62.275
1400.72   60.775
1400.47   61.675
1400.22   60.825
1399.97   61.675
1399.72   61.375
1399.47   61.325
1399.22   61.95
1398.98   60.85
1398.73   61.275
1398.48   62.15
1398.23   62.3
1397.98   60.8
1397.73   59.65
1397.48   61.6
1397.23   62.25
1396.98   62.375
1396.73   62.2
1396.48   61.525
1396.23   61.875
1395.98   61.775
1395.73   63.375
1395.49   60.425
1395.24   61.825
1394.98   60.775
1394.74   61.1
1394.49   60.1
1394.24   61.125
1393.99   61.6
1393.74   61.85
1393.49   61.5
1393.24   62.5
1392.99   62.725
1392.74   63.1
1392.49   62.025
1392.24   61.9
1391.99   62.05
1391.74   62.75
1391.49   63.275
1391.24   63.4
1390.99   62.525
1390.74   62.275
1390.49   62.2
1390.24   62.95
1389.99   62.325
1389.74   61.325
1389.49   62.375
1389.24   60.6
1388.99   60.925
1388.74   61.7
1388.49   60.325
1388.24   60.925
1387.99   61.6
1387.74   61.375
1387.49   61.875
1387.24   62.975
1386.99   62.7
1386.74   61.925
1386.49   62.875
1386.24   62.1
1385.99   62.5
1385.74   62.175
1385.5   63.25
1385.24   62.625
1384.99   61.875
1384.74   62.375
1384.49   62.7
1384.24   63.1
1383.99   62.475
1383.74   62.9
1383.49   61.525
1383.24   63.225
1382.99   63.3
1382.74   62.025
1382.49   63.575
1382.24   62.65
1381.99   63.35
1381.74   62.7
1381.49   62.1
