XY
Wavenumber     
Intensity      
"Start : "1219.22
"Stop  : "1477.06
S25424f.m3d

1477.06   -0.075
1476.82   0.325
1476.57   0.075
1476.33   -0.025
1476.08   0.1
1475.84   0.05
1475.59   0.35
1475.35   0.075
1475.1   0.15
1474.85   0.025
1474.61   0.225
1474.37   0.15
1474.12   0.375
1473.88   0.225
1473.63   0.225
1473.39   0.25
1473.14   0.35
1472.9   0.2
1472.65   0.075
1472.41   0.125
1472.16   -0.1
1471.91   0.1
1471.67   0.3
1471.42   -0.15
1471.18   0.15
1470.93   0.125
1470.69   0.325
1470.44   -0.025
1470.2   0.2
1469.95   0.3
1469.71   0.3
1469.46   0.25
1469.21   0.525
1468.97   -0.125
1468.73   -1.49012e-08
1468.48   -0.1
1468.24   0.375
1467.99   -0.075
1467.74   0.425
1467.5   0.325
1467.25   0.25
1467.01   0.075
1466.76   0.3
1466.52   0.325
1466.27   0.35
1466.03   0.3
1465.78   0.225
1465.53   0.125
1465.29   0.25
1465.04   0.7
1464.8   0.375
1464.55   0.125
1464.31   0.15
1464.06   0.65
1463.82   0.425
1463.57   0.475
1463.32   0.575
1463.08   0.625
1462.83   0.925
1462.58   0.825
1462.34   0.9
1462.09   2.05
1461.85   3.325
1461.6   7.9
1461.36   13.85
1461.11   20.275
1460.86   28.275
1460.62   38.05
1460.37   45.45
1460.13   51.65
1459.88   57.575
1459.64   59.65
1459.39   63.7
1459.14   62.75
1458.9   63.5
1458.65   64.125
1458.41   63.5
1458.16   64.95
1457.92   63.775
1457.67   64.325
1457.42   64.975
1457.18   63.975
1456.93   64.275
1456.68   65.35
1456.44   66.475
1456.19   66
1455.95   66.025
1455.7   63.675
1455.45   65.15
1455.21   66.375
1454.96   66.425
1454.71   65.475
1454.47   66.125
1454.22   66.925
1453.98   66.825
1453.73   66.95
1453.49   65.95
1453.24   65.9
1452.99   66.425
1452.75   66.05
1452.5   66.15
1452.25   65.4
1452.01   64.8
1451.76   65.95
1451.51   64.175
1451.27   64.15
1451.02   63.6
1450.77   64.475
1450.53   64.175
1450.28   62.9
1450.04   61.85
1449.79   63.45
1449.54   64.2
1449.29   62.025
1449.05   63.6
1448.8   62.35
1448.56   62.45
1448.31   61.875
1448.06   61.825
1447.82   63.15
1447.57   61
1447.32   62.55
1447.08   62.35
1446.83   61.1
1446.58   62.025
1446.34   60.075
1446.09   58.725
1445.84   60.125
1445.6   61.65
1445.35   60.9
1445.1   60.525
1444.86   61.35
1444.61   60.575
1444.36   60.175
1444.12   60.3
1443.87   61.4
