XY
Wavenumber     
Intensity      
"Start : "1423.93
"Stop  : "1672.31
S25424g.m3d

1672.31   0.225
1672.08   0.625
1671.84   0.25
1671.61   0.6
1671.37   0.5
1671.13   0.575
1670.9   0.45
1670.66   0.35
1670.43   0.425
1670.19   0.525
1669.95   0.425
1669.72   0.2
1669.48   0.25
1669.24   0.7
1669.01   0.5
1668.77   0.525
1668.54   0.625
1668.3   0.4
1668.06   0.325
1667.83   0.6
1667.59   0.45
1667.35   0.625
1667.12   0.575
1666.88   0.175
1666.65   0.525
1666.41   0.375
1666.17   0.425
1665.94   0.55
1665.7   0.625
1665.46   0.65
1665.23   0.65
1664.99   0.725
1664.76   0.175
1664.52   0.325
1664.28   0.825
1664.04   0.5
1663.81   0.825
1663.57   0.55
1663.34   0.375
1663.1   0.55
1662.86   0.7
1662.63   0.575
1662.39   0.5
1662.15   0.775
1661.92   0.95
1661.68   1.1
1661.44   0.675
1661.21   0.4
1660.97   1.225
1660.73   0.7
1660.5   0.875
1660.26   0.875
1660.02   0.9
1659.79   0.7
1659.55   0.775
1659.31   1.125
1659.08   0.675
1658.84   1.05
1658.6   1.025
1658.37   1.3
1658.13   1.025
1657.89   1.4
1657.66   1.425
1657.42   1.625
1657.18   2.375
1656.95   4.6
1656.71   9.425
1656.47   16.6
1656.24   26.55
1656   37.85
1655.76   50.55
1655.53   63.925
1655.29   71.7
1655.05   78.975
1654.81   84.225
1654.58   87.825
1654.34   89.425
1654.1   91.875
1653.87   89.3
1653.63   91.7
1653.39   93.925
1653.15   90.725
1652.92   90.35
1652.68   92.95
1652.44   91.425
1652.21   89.8
1651.97   90.425
1651.73   90.525
1651.5   90.025
1651.26   88.9
1651.02   88.65
1650.78   87.75
1650.55   86.4
1650.31   86.9
1650.07   86.775
1649.83   85.05
1649.6   83.6
1649.36   83.525
1649.12   83.575
1648.89   82.9
1648.65   82.05
1648.41   80.45
1648.17   79.6
1647.94   78.5
1647.7   80.6
1647.46   76.3
1647.23   79.175
1646.99   79.125
1646.75   77.575
1646.51   77.4
1646.27   78
1646.04   77.775
1645.8   76.3
1645.56   76.15
1645.33   75.375
1645.09   75.45
1644.85   76.425
1644.61   75.15
1644.38   75.9
1644.14   74.275
1643.9   74.4
1643.66   72.625
1643.43   74.7
1643.19   74.975
1642.95   73.125
1642.71   74.875
1642.47   73.825
1642.24   73.025
1642   74.625
1641.76   74.475
1641.52   73.3
1641.29   73.525
1641.05   73.025
1640.81   72.45
1640.57   72.05
1640.33   72.9
1640.1   72.825
1639.86   72.575
1639.62   72.7
1639.38   73.075
1639.15   74.225
1638.91   73.375
1638.67   73.6
1638.43   73.775
1638.2   72.45
1637.96   73.225
1637.72   72.6
1637.48   73.725
1637.24   75.8
1637   73.3
1636.77   75.5
1636.53   74.15
1636.29   73.825
1636.05   74.85
1635.82   73.5
1635.58   75.05
1635.34   74.7
1635.1   74.275
1634.86   74.075
1634.63   74.95
1634.39   74.15
1634.15   73.825
1633.91   75.425
1633.67   75.625
1633.44   74.225
1633.2   74.05
1632.96   75.95
1632.72   75.025
1632.48   75.35
1632.24   76.025
1632   76.95
1631.77   75.775
1631.53   74.5
1631.29   77.4
1631.05   77.175
1630.81   76.7
1630.58   78.325
1630.34   78.5
1630.1   76.5
1629.86   76.85
1629.62   78.825
1629.39   76.625
1629.15   78.85
1628.91   79.825
1628.67   76.525
1628.43   80.575
1628.19   78.6
1627.95   80.475
1627.72   80.225
1627.48   80.65
1627.24   79.175
1627   79.825
1626.76   80.45
1626.52   80.55
1626.28   80.6
1626.05   80.85
1625.81   81.975
1625.57   82.525
1625.33   83
1625.09   82.425
1624.85   83.05
1624.61   84.15
1624.38   83.8
1624.14   83.45
1623.9   83.275
1623.66   85.85
1623.42   86.75
1623.18   85.225
1622.94   85.075
1622.71   87.175
1622.47   85.775
1622.23   88.175
1621.99   86.6
1621.75   87.975
1621.51   88.8
1621.27   87.4
1621.03   88.575
1620.79   91.725
1620.55   89.7
