XY
Wavenumber     
Intensity      
"Start : "1423.93
"Stop  : "1672.31
S25424h.m3d

1672.31   0.725
1672.08   0.675
1671.84   0.5
1671.61   0.675
1671.37   0.375
1671.13   0.825
1670.9   0.925
1670.66   0.65
1670.43   0.85
1670.19   0.5
1669.95   0.775
1669.72   0.975
1669.48   1
1669.24   0.975
1669.01   0.725
1668.77   0.575
1668.54   0.375
1668.3   0.725
1668.06   0.525
1667.83   0.575
1667.59   0.625
1667.35   0.525
1667.12   0.4
1666.88   0.625
1666.65   0.775
1666.41   0.525
1666.17   0.825
1665.94   0.6
1665.7   0.7
1665.46   0.825
1665.23   0.675
1664.99   0.8
1664.76   0.55
1664.52   1
1664.28   0.875
1664.04   0.7
1663.81   0.85
1663.57   1.2
1663.34   0.675
1663.1   0.7
1662.86   0.975
1662.63   1.15
1662.39   0.875
1662.15   0.9
1661.92   0.925
1661.68   0.575
1661.44   1.075
1661.21   1.275
1660.97   1.175
1660.73   1
1660.5   0.85
1660.26   1
1660.02   1.05
1659.79   1.1
1659.55   1.275
1659.31   1.525
1659.08   1.2
1658.84   1.675
1658.6   1.45
1658.37   1.2
1658.13   1.275
1657.89   1.575
1657.66   1.55
1657.42   2.225
1657.18   4.05
1656.95   7.275
1656.71   14.75
1656.47   23.275
1656.24   35.175
1656   49.15
1655.76   61
1655.53   70.425
1655.29   78.4
1655.05   84.725
1654.81   85.925
1654.58   90.125
1654.34   90.525
1654.1   90.175
1653.87   90.35
1653.63   92.25
1653.39   92.45
1653.15   92.8
1652.92   91.425
1652.68   91.375
1652.44   89.725
1652.21   93.35
1651.97   91.925
1651.73   90.025
1651.5   92.75
1651.26   90.45
1651.02   91.225
1650.78   92.15
1650.55   91.425
1650.31   91.6
1650.07   92.4
1649.83   92.325
1649.6   90.25
1649.36   91.7
1649.12   92.2
1648.89   91.5
1648.65   90.75
1648.41   91.525
1648.17   90.7
1647.94   91.825
1647.7   91.75
1647.46   90.55
1647.23   91.775
1646.99   92.575
1646.75   92
1646.51   92.075
1646.27   90.7
1646.04   92.45
1645.8   91.825
1645.56   90.1
1645.33   91.25
1645.09   92.15
1644.85   91.05
1644.61   90.9
1644.38   93
1644.14   92.4
1643.9   91.5
1643.66   90.525
1643.43   91.075
1643.19   92.075
1642.95   92.45
1642.71   93.05
1642.47   93.325
1642.24   92.15
1642   91.725
1641.76   91.675
1641.52   92
1641.29   91.925
1641.05   92.275
1640.81   94.275
1640.57   92.025
1640.33   93.95
1640.1   93.55
1639.86   94.325
1639.62   93.65
1639.38   93.55
1639.15   95.15
1638.91   93.075
1638.67   95.025
1638.43   94.675
1638.2   94.05
1637.96   94.175
1637.72   93.7
1637.48   95.45
1637.24   96.5
1637   93.25
1636.77   95.175
1636.53   95.925
1636.29   96.375
1636.05   96.7
1635.82   95.075
1635.58   96.475
1635.34   96.375
1635.1   96.65
1634.86   96.4
1634.63   96
1634.39   97.45
1634.15   96.875
1633.91   96.1
1633.67   97.75
1633.44   96.875
1633.2   98.8
1632.96   97.8
1632.72   99
1632.48   97.575
1632.24   98.975
1632   96.5
1631.77   98.6
1631.53   97.675
1631.29   99.275
1631.05   101.075
1630.81   99.625
1630.58   100.325
1630.34   101.85
1630.1   99.375
1629.86   100.575
1629.62   100.025
1629.39   98.825
1629.15   100.125
1628.91   100.95
1628.67   103.2
1628.43   102.8
1628.19   104.475
1627.95   102.875
1627.72   100.825
1627.48   103.45
1627.24   101.6
1627   103.75
1626.76   103.475
1626.52   102.4
1626.28   106.175
1626.05   102.3
1625.81   104.575
1625.57   105.875
1625.33   106.05
1625.09   105.2
1624.85   106.05
1624.61   106.25
1624.38   106.4
1624.14   109.325
1623.9   107.725
1623.66   109.775
1623.42   107.225
1623.18   110.725
1622.94   106.425
1622.71   108.65
1622.47   110.775
1622.23   111.075
1621.99   110.5
1621.75   111.275
1621.51   112.275
1621.27   113.975
1621.03   111.825
1620.79   112.9
1620.55   110.425
1620.32   114.65
1620.08   113.175
1619.84   116.375
1619.6   114.6
1619.36   115.525
1619.12   116.175
1618.88   115.425
1618.64   118.3
1618.41   117.55
1618.17   118.25
1617.93   118.225
1617.69   120.15
1617.45   120.125
1617.21   119.025
1616.97   121.4
1616.73   121.3
1616.49   123.45
1616.25   123.65
1616.02   123.225
1615.78   125.4
1615.54   123.15
1615.3   126.2
1615.06   126.35
1614.82   127.275
1614.58   128.225
1614.34   128.575
1614.1   129.375
1613.86   131.425
1613.62   133
1613.38   129.825
1613.14   133.475
1612.9   134.225
1612.67   137.025
1612.43   134.975
1612.19   135.3
1611.95   137
1611.71   138.475
1611.47   137.05
1611.23   140.925
1610.99   140.225
1610.75   143.85
1610.51   144.575
1610.27   147.4
1610.03   147.65
1609.79   146.45
1609.55   150.675
1609.32   151.375
