XY
Wavenumber     
Intensity      
"Start : "1219.12
"Stop  : "1476.96
S25424i.m3d

1476.96   0.25
1476.72   0.025
1476.47   0.5
1476.23   0.2
1475.98   0.125
1475.74   0.225
1475.49   0.25
1475.25   -0.05
1475   0.125
1474.76   0.225
1474.51   0.1
1474.27   0.525
1474.02   0.525
1473.78   -3.72529e-09
1473.53   0.025
1473.29   0.025
1473.04   0.15
1472.8   0.275
1472.55   0.2
1472.31   0.15
1472.06   0.25
1471.81   0.15
1471.57   0.35
1471.32   0.35
1471.08   0.4
1470.83   0.4
1470.59   0.45
1470.34   0.35
1470.1   0.275
1469.85   0.1
1469.61   0.4
1469.36   0.4
1469.12   0.15
1468.87   0.4
1468.62   0.275
1468.38   0.325
1468.13   0.175
1467.89   0.3
1467.64   0.25
1467.4   0.35
1467.15   0.4
1466.91   0.325
1466.66   0.325
1466.42   0.475
1466.17   0.45
1465.93   0.325
1465.68   0.25
1465.44   0.575
1465.19   0.5
1464.94   0.375
1464.7   0.575
1464.45   0.375
1464.21   0.85
1463.96   0.5
1463.71   0.725
1463.47   1.025
1463.22   0.925
1462.98   0.95
1462.73   1.2
1462.49   1.775
1462.24   2.95
1462   6.6
1461.75   12.2
1461.5   19.85
1461.26   28.375
1461.01   39.775
1460.77   48.15
1460.52   58.15
1460.27   62.45
1460.03   67.65
1459.78   70.375
1459.54   69.6
1459.29   71.475
1459.04   72.25
1458.8   71.5
1458.55   71.85
1458.31   70.125
1458.06   72.225
1457.81   70.975
1457.57   72.075
1457.32   72
1457.08   72.025
1456.83   73.825
1456.58   72.825
1456.34   71.5
1456.09   72.45
1455.84   73.1
1455.6   73.225
1455.35   73.75
1455.11   74.275
1454.86   73.575
1454.62   74.025
1454.37   73.8
1454.12   72.675
1453.88   72.4
1453.63   73.5
1453.38   74.075
1453.14   73.775
1452.89   73.575
1452.65   72.875
1452.4   71.95
1452.15   71.975
1451.91   70.775
1451.66   72
1451.41   73.3
1451.17   73.95
1450.92   73.875
1450.67   72.8
1450.43   74
1450.18   72.125
1449.93   72.2
