XY
Wavenumber     
Intensity      
"Start : "194.292
"Stop  : "501.097
S25424m.m3d

501.097   0.225
500.805   0.325
500.515   0.2
500.224   0.125
499.934   0.225
499.642   0.575
499.351   0.6
499.059   0.65
498.769   0.35
498.477   0.25
498.184   0.175
497.893   0.55
497.603   0.55
497.312   0.45
497.019   0.375
496.727   0.675
496.437   0.55
496.145   0.225
495.855   0.425
495.562   0.025
495.271   0.25
494.979   0.275
494.688   0.65
494.395   0.45
494.104   0.55
493.812   0.35
493.521   0.325
493.228   0.65
492.938   0.75
492.646   0.35
492.354   0.275
492.062   0.05
491.771   0.75
491.479   0.45
491.188   0.5
490.896   0.175
490.604   0.45
490.312   0.625
490.019   0.65
489.729   0.475
489.437   0.725
489.145   0.75
488.852   0.625
488.562   0.925
488.269   0.625
487.976   0.875
487.685   1.6
487.394   2.9
487.102   5.725
486.809   10.75
486.517   16.775
486.226   22.975
485.933   31.25
485.641   36.475
485.351   44.925
485.058   48.425
484.765   52.2
484.473   53.65
484.179   55.125
483.888   55.95
483.597   54.75
483.304   54.9
483.011   56.975
482.72   56.9
482.427   55.325
482.135   55.9
481.843   56.025
481.55   57.425
481.257   56.75
480.966   57
480.674   55.3
480.381   57.05
480.089   56.45
479.795   57.275
479.503   55.775
479.212   57.625
478.919   58.35
478.626   56.825
478.334   57.075
478.04   57.825
477.749   56.875
477.457   58.1
477.164   58.675
476.871   57.925
476.577   57.2
476.284   57.525
475.993   57.6
475.699   57.95
475.407   58.575
475.116   57.775
474.823   58.125
474.53   57.1
474.238   58.125
473.943   58.275
473.651   58.85
473.357   57.5
473.066   59.925
472.773   59.225
472.48   58.75
472.188   58.225
471.895   59.925
471.601   59.725
471.31   59.075
471.017   58.85
470.723   58.325
470.43   58.85
470.137   57.45
469.845   57.375
469.552   59.65
469.259   58.85
468.966   59.2
468.672   58.175
468.379   58.125
468.086   58.325
467.793   58.45
467.498   57.375
467.206   59.6
466.914   58.575
466.619   57.55
466.327   59.375
466.033   60.375
465.741   57.825
465.447   57.9
465.154   57.8
464.861   59.525
464.567   59.225
464.274   58.25
463.98   58.275
463.688   59.5
463.395   59.975
463.102   60.05
462.808   60.075
462.514   60.2
462.222   58.8
461.927   59.5
461.634   59.55
461.339   60.025
461.048   60.05
460.752   59.675
460.46   60.35
460.166   58.55
459.873   58.6
459.58   60
459.285   59.775
458.991   59.8
458.697   60.95
458.406   59.65
458.112   59.125
457.818   60.075
457.524   60.225
457.23   58.375
456.937   59.3
456.643   58.15
456.349   60.4
456.056   59.825
455.762   59.9
455.468   60.425
455.174   60.925
454.88   59.7
454.585   60.375
454.292   61.6
453.998   60.525
453.704   60.225
453.41   60.55
453.116   61.025
452.823   60.8
452.529   61.05
452.235   59
451.941   60.5
451.646   59.825
451.354   60.5
451.058   59.15
450.765   59.1
450.47   59.1
450.177   60.875
449.883   58.95
449.588   58.85
449.293   59.125
449.001   59.5
448.705   60.125
448.41   59.95
448.117   59.65
447.823   58.7
447.529   59.475
447.234   60.05
446.94   60.075
446.645   58.025
446.352   59.175
446.058   59.3
445.764   58.475
445.468   58.4
445.175   59.05
444.879   58.3
444.585   58.95
444.29   60.4
443.996   58.225
443.703   59.65
443.408   60.825
443.114   59.375
442.817   59.325
442.524   59.85
442.229   60.7
441.933   61.225
441.641   58.675
441.345   60.3
441.052   59.475
440.756   58.875
440.462   58.5
440.167   59.225
439.871   59.725
439.578   58.825
439.282   60.575
438.988   60.175
438.693   59.55
438.397   58.35
438.104   60.325
437.808   60.675
437.515   58.925
437.219   60.1
436.924   60.65
436.63   61.325
436.334   61.95
436.04   60.55
435.744   60.7
435.449   61.15
435.155   62.1
434.859   62.15
434.566   63.675
434.27   62.05
433.974   61.675
433.679   63.425
433.384   62.45
433.092   61.925
432.795   62.375
432.499   63.25
432.204   62.275
431.909   61.45
431.613   61.775
431.319   60.325
431.023   61.925
430.729   60.325
430.434   61.225
430.138   61.65
429.843   60.725
429.548   61.35
429.251   59.6
428.957   59.25
428.661   61.1
428.365   60.1
428.07   58.225
427.775   59.825
427.479   60.5
427.186   59.825
426.889   59.575
426.593   60.15
426.299   61.275
426.003   61.375
425.706   59.7
425.411   60.7
425.116   61.025
424.821   60.45
424.526   60
424.229   62.075
423.933   59.85
423.639   61.575
423.343   61.2
423.046   60.75
422.751   60.725
422.456   60.9
422.159   60.4
421.862   60.275
421.568   61
421.272   60.2
420.976   59.425
420.682   59.45
420.385   60.2
420.089   60.075
419.794   59.625
419.498   59.05
419.201   60.4
418.904   59.6
418.61   59.525
418.314   61.05
418.017   60.65
417.722   59.625
417.427   61.075
417.129   60.75
416.833   60.925
416.537   60.7
416.242   61.325
415.945   60.65
415.649   60.275
415.354   61.375
415.058   59.825
414.761   61.625
414.466   58.55
414.17   58.675
413.872   62.25
413.578   60.7
413.28   59.75
412.984   59.775
412.688   61.75
412.391   60.775
412.097   61.3
411.8   61.2
411.503   59.475
411.207   60.025
410.91   61.625
410.614   61.075
410.316   60.325
410.02   60.6
409.725   61.55
409.429   60.65
409.132   60.375
408.835   59.5
408.538   62.125
408.243   62.3
407.946   61.95
407.648   60.775
407.354   61.775
407.056   62.125
406.76   60.925
406.463   61.7
406.166   62.125
405.87   61.15
405.574   62.65
405.277   62.65
404.979   63.25
404.682   61.35
404.385   61.05
404.09   62.075
403.793   61.5
403.496   60.875
403.199   60.25
402.902   60.075
402.606   60.45
402.309   59.875
402.012   60.75
401.714   60
401.418   60.55
401.121   59.825
400.825   59.975
400.527   61.075
400.229   60.3
399.933   59.925
399.636   59.325
399.339   59.4
399.043   60.575
398.745   61
398.447   59.825
398.149   59.325
397.854   60.85
397.558   59.925
397.26   60.2
396.963   59.85
396.665   59.15
396.367   60.35
396.07   60.775
395.773   59.8
395.477   59.925
395.18   59.8
394.882   59.175
394.584   60.4
394.287   59.775
393.99   60.15
393.692   60.75
393.396   59.975
393.099   62.025
392.8   61.075
392.503   62.325
392.205   61.95
391.907   62.1
391.608   61.375
391.313   63.225
391.017   61.3
390.718   62.275
390.421   63
390.123   61.725
389.825   63.875
389.526   62.875
389.23   61.15
388.934   63.975
388.636   62.95
388.338   64.25
388.041   63.275
387.742   63.475
387.444   65.075
387.146   63.65
386.849   64.5
386.552   63.25
386.253   62.825
385.956   65.225
385.658   63.525
385.361   63.1
385.063   63.025
384.765   63.65
384.467   62.875
384.169   61.5
383.871   63.15
383.571   63.4
383.273   63.375
382.977   62.875
382.679   62.15
382.381   63.2
382.082   62.725
381.784   62.6
381.487   63.15
381.189   64.275
380.892   63.875
380.593   63.625
380.294   63.85
379.996   64.175
379.698   63.45
379.399   65.75
379.102   65.4
378.803   65.55
378.505   67.15
378.206   66.475
377.908   69.85
377.609   70.55
377.312   72.025
377.015   70.525
376.716   70.075
376.418   69.6
376.12   69.525
375.822   68.475
375.523   68.325
375.225   68.175
374.927   68.375
374.628   66.225
374.329   65.175
374.03   65.275
373.732   62.55
373.434   63.1
373.135   61.925
372.836   62.225
372.538   59.3
372.239   59.15
371.94   59.8
371.642   59.625
371.344   59.625
371.045   58.975
370.746   59.625
370.447   60.55
370.149   58.575
369.85   60.025
369.551   60.1
369.253   59.625
368.954   59.5
368.654   58.65
368.356   58.85
368.058   60.75
367.759   58.55
367.46   59.575
367.161   58.55
366.862   60.85
366.563   59.9
366.265   59.975
365.966   59.8
365.667   60.125
365.367   59.7
365.069   59.825
364.77   60.075
364.47   59.1
364.172   60.625
363.873   60.925
363.574   60.775
363.273   60.125
362.975   59.4
362.677   60.075
362.375   58.475
362.077   60.35
361.779   61.125
361.479   59.3
361.18   60
360.881   59.525
360.581   59
360.282   58.1
359.983   59.925
359.685   58.525
359.385   58.2
359.086   57.625
358.787   57.45
358.488   58.8
358.187   59.65
357.886   58.45
357.587   59.15
357.289   60.025
356.989   58.15
356.688   59.55
356.39   59.35
356.091   59.25
355.791   58.975
355.492   57.8
355.193   58.55
354.894   60.45
354.594   60.15
354.294   59.6
353.995   60.075
353.693   60.525
353.395   58.65
353.094   59.125
352.795   60.35
352.496   61.025
352.197   60.025
351.896   59.975
351.597   59.35
351.296   60.025
350.997   60
350.698   60.475
350.396   58.625
350.098   59.25
349.798   59.975
349.498   58.2
349.198   61.625
348.898   60.7
348.598   59.1
348.298   61.225
347.997   61.4
347.698   58.675
