XY
Wavenumber     
Intensity      
"Start : "194.292
"Stop  : "501.097
S25424n.m3d

501.097   0.1
500.805   0.1
500.515   0.0875
500.224   0.075
499.934   0.1125
499.642   0.1375
499.351   0.0625
499.059   0.0625
498.769   0.3625
498.477   0.2125
498.184   0.1
497.893   0.075
497.603   0.225
497.312   0.1
497.019   0.275
496.727   0.125
496.437   0.125
496.145   -0.0125
495.855   0.0375
495.562   0.1625
495.271   -0.0625
494.979   -0.025
494.688   0.025
494.395   0.1
494.104   0.1375
493.812   0.1
493.521   0.1875
493.228   0.0875
492.938   0.2875
492.646   0.2375
492.354   0.1875
492.062   0.0375
491.771   0.1625
491.479   0.0875
491.188   0.1125
490.896   0.15
490.604   0.2
490.312   0.125
490.019   0.1625
489.729   0.1375
489.437   0.0625
489.145   0.175
488.852   0.275
488.562   0.275
488.269   0.35
487.976   0.2875
487.685   0.35
487.394   0.6375
487.102   1.4
486.809   2.0375
486.517   2.8375
486.226   4.45
485.933   5.825
485.641   7.0875
485.351   7.9875
485.058   9.425
484.765   9.5625
484.473   9.975
484.179   10.225
483.888   10.575
483.597   10.7625
483.304   10.8375
483.011   10.675
482.72   10.5125
482.427   10.9625
482.135   10.8625
481.843   10.9875
481.55   10.7375
481.257   10.9875
480.966   10.6875
480.674   10.6
480.381   11.1375
480.089   10.7125
479.795   10.9625
479.503   10.7
479.212   11.225
478.919   10.8
478.626   10.7625
478.334   10.9375
478.04   10.9125
477.749   10.8
477.457   11.275
477.164   11.1875
476.871   10.8875
476.577   11.075
476.284   10.9125
475.993   11.9875
475.699   11.25
475.407   11.4375
475.116   10.875
474.823   11.1625
474.53   11.525
474.238   10.6125
473.943   10.95
473.651   10.875
473.357   11.025
473.066   11.225
472.773   11.4375
472.48   11.6375
472.188   10.95
471.895   11.225
471.601   10.8875
471.31   11.25
471.017   11.7625
470.723   11.525
470.43   11.0625
470.137   10.8875
469.845   11.2375
469.552   10.8875
469.259   11.5125
468.966   10.9875
468.672   11.2625
468.379   11.1125
468.086   10.9875
467.793   11.425
467.498   11.225
467.206   11.125
466.914   11.1375
466.619   11.1
466.327   11.375
466.033   10.9875
465.741   11.0375
465.447   11.6125
465.154   11.6625
464.861   11.1375
464.567   11.2125
464.274   11.9125
463.98   11.4875
463.688   11.375
463.395   11.3125
463.102   11.5125
462.808   11.95
462.514   11.5125
462.222   11.3375
461.927   11.45
461.634   11.6
461.339   11.3625
461.048   10.9625
460.752   11.625
460.46   11.5
460.166   11.1625
459.873   11.5125
459.58   11.4
459.285   11.5625
458.991   11.2625
458.697   11.7
458.406   11.2625
458.112   11.3375
457.818   11.3875
457.524   11.85
457.23   11.45
456.937   11.625
456.643   11.725
456.349   11.6125
456.056   11.7125
455.762   11.8375
455.468   12.075
455.174   11.225
454.88   11.5625
454.585   11.8125
454.292   11.425
453.998   11.575
453.704   11.5125
453.41   11.45
453.116   11.925
452.823   11.3125
452.529   11.75
452.235   11.1875
451.941   11.775
451.646   11.6875
451.354   11.2875
451.058   11.2625
450.765   11.325
450.47   11.9875
450.177   11.4625
449.883   11.5125
449.588   11.925
449.293   11.7625
449.001   11.5375
448.705   11.425
448.41   11.3125
448.117   11.4875
447.823   11.65
447.529   11.7375
447.234   11.45
446.94   11.4875
446.645   11.8
446.352   11.575
446.058   11.5
445.764   11.6625
445.468   11.2625
445.175   11.4625
444.879   11.8375
444.585   11.7375
444.29   11.475
443.996   11.9625
443.703   12.0625
443.408   11.5
443.114   11.275
442.817   12.3125
442.524   11.875
442.229   11.4
441.933   11.7
441.641   11.5125
441.345   11.9375
441.052   11.825
440.756   11.75
440.462   11.7375
440.167   11.925
439.871   11.4875
439.578   11.7625
439.282   11.825
438.988   11.5875
438.693   11.7125
438.397   12.025
438.104   11.7875
437.808   11.525
437.515   11.9875
437.219   11.8875
436.924   12.0125
436.63   12.2375
436.334   11.7875
436.04   11.7
