XY
Wavenumber     
Intensity      
"Start : "1424.03
"Stop  : "1672.41
S25424o.m3d

1672.41   0.025
1672.17   0.0125
1671.94   -0.1125
1671.7   0.175
1671.47   0.1375
1671.23   0.15
1670.99   0.0875
1670.76   0.25
1670.52   0.05
1670.29   0.0375
1670.05   -1.86265e-09
1669.81   0.1375
1669.58   0.05
1669.34   0.0625
1669.1   0.1625
1668.87   -0.025
1668.63   0.075
1668.4   0
1668.16   0.3125
1667.92   0.0875
1667.69   0.1875
1667.45   0.2125
1667.21   0.1625
1666.98   0.1875
1666.74   0.225
1666.51   0.225
1666.27   0.025
1666.03   0.2625
1665.8   0.025
1665.56   0.1125
1665.33   0.1
1665.09   0.0875
1664.85   0.0375
1664.62   0.25
1664.38   0.225
1664.14   0.1125
1663.91   0.175
1663.67   0.15
1663.43   0.1375
1663.2   0.3
1662.96   0.15
1662.72   0.1625
1662.49   0.1875
1662.25   0.2125
1662.01   0.05
1661.78   0.175
1661.54   0.1875
1661.3   0.175
1661.07   0.1875
1660.83   0.1375
1660.59   0.15
1660.36   0.2375
1660.12   0.1125
1659.89   0.175
1659.65   0
1659.41   0.35
1659.17   0.3125
1658.94   0.1375
1658.7   0.2125
1658.46   0.2375
1658.23   0.3125
1657.99   0.15
1657.75   0.1875
1657.52   0.2
1657.28   0.375
1657.04   0.4125
1656.81   0.975
1656.57   1.825
1656.33   3.575
1656.1   5.3
1655.86   7.65
1655.62   9.8875
1655.39   12.7375
1655.15   14.8125
1654.91   16.55
1654.67   17.2125
1654.44   18
1654.2   18.575
1653.96   18.6625
1653.73   18.4375
1653.49   19
1653.25   18.85
1653.02   19.025
1652.78   18.6625
1652.54   19.0375
1652.3   18.85
1652.07   18.975
1651.83   19.3125
1651.59   19.175
1651.36   19.3
1651.12   18.7875
1650.88   19.125
1650.65   18.4375
1650.41   19.7125
1650.17   19.1875
1649.93   19.3125
1649.7   19.4375
1649.46   19.3125
1649.22   18.2625
1648.98   19.1125
1648.75   19.3375
1648.51   18.7125
1648.27   19.1125
1648.03   19.225
1647.8   18.6375
1647.56   18.75
1647.32   19.625
1647.08   19.025
1646.85   19.4
1646.61   18.975
1646.37   19.225
1646.14   19.375
1645.9   19.55
1645.66   19.0625
1645.42   19.5
1645.18   19
1644.95   19.425
1644.71   19.3375
1644.47   19.2125
1644.24   19.4375
1644   19.2125
1643.76   18.9625
1643.52   19.8625
1643.28   19.0875
1643.05   19.525
1642.81   19.425
1642.57   19.4125
1642.33   19.95
1642.1   19.7875
1641.86   18.825
1641.62   19.8
1641.38   19.65
1641.15   20.175
1640.91   19.5875
1640.67   19.575
1640.43   19.475
1640.19   20.025
1639.96   19.6625
1639.72   20.1125
1639.48   20.2625
1639.24   19.975
1639   20.275
1638.77   20.5625
1638.53   19.975
1638.29   19.8375
1638.05   20.5125
1637.82   20.1125
1637.58   20.425
1637.34   20.5875
1637.1   20.575
1636.87   20.2
1636.63   20.4125
1636.39   20.2375
1636.15   20.6
1635.91   20.0125
1635.68   20.5625
1635.44   20.6875
1635.2   21.3625
1634.96   21.1625
1634.72   21.175
1634.49   21.0375
1634.25   21.05
1634.01   20.525
1633.77   21.35
1633.53   21
1633.29   21.6375
1633.06   21.5875
1632.82   21.05
1632.58   20.6375
1632.34   21.225
1632.1   21.25
1631.87   21.8625
1631.63   21
1631.39   21.8375
1631.15   22.2
1630.91   21.4875
1630.67   22.025
1630.44   21.8
1630.2   22.4375
1629.96   22.15
1629.72   22.175
1629.48   21.6625
1629.24   21.925
1629   22.175
1628.77   22.125
1628.53   21.925
1628.29   21.9875
1628.05   22.5375
1627.81   22.825
1627.58   22.475
1627.34   22.7625
1627.1   23.2625
1626.86   22.65
1626.62   22.9
1626.38   23.175
1626.14   23.25
1625.91   23.4375
1625.67   23.3625
1625.43   23.175
1625.19   23.4375
1624.95   23.825
1624.71   23.6125
1624.47   24.3875
1624.23   24.5125
1624   24.4125
1623.76   24.5375
1623.52   24.0375
1623.28   24.125
1623.04   24.1375
1622.8   25.3375
1622.56   25.2625
1622.33   25.35
1622.09   25
1621.85   24.8625
1621.61   25.725
1621.37   25.0125
1621.13   25.8375
1620.89   25.6625
1620.65   25.875
1620.41   25.625
1620.18   26.35
1619.94   26.25
1619.7   26.95
1619.46   26.95
1619.22   26.6875
1618.98   27.0375
1618.74   27.375
1618.5   27.525
1618.26   28.1875
1618.03   27.7625
1617.79   27.925
1617.55   28.6375
1617.31   28.0125
1617.07   28.8375
1616.83   29.65
1616.59   29.5125
1616.35   29.2375
1616.11   29.3875
1615.88   29.475
1615.64   29.8125
1615.4   30.2875
1615.16   30.0625
1614.92   31.0625
1614.68   31.25
1614.44   31.8125
1614.2   31.1875
1613.96   31.8125
1613.72   32
1613.48   32.825
1613.24   32.125
1613   32.1125
1612.76   33.6
1612.53   34.3875
1612.29   34.6625
1612.05   34.6
1611.81   35.2625
1611.57   35.95
