XY
Wavenumber     
Intensity      
"Start : "1219.12
"Stop  : "1476.96
S25424p.m3d

1476.96   -1.86265e-09
1476.72   0.15
1476.47   -0.1375
1476.23   0.1625
1475.98   0.025
1475.74   0.0375
1475.49   -0.0875
1475.25   0.05
1475   0.05
1474.76   0.075
1474.51   -0.0125
1474.27   -0.075
1474.02   -0.05
1473.78   0
1473.53   -0.025
1473.29   0
1473.04   0.0375
1472.8   3.72529e-09
1472.55   -0.0125
1472.31   0.1375
1472.06   0.0125
1471.81   0.1375
1471.57   -1.86265e-09
1471.32   0.0875
1471.08   0.0875
1470.83   0.1
1470.59   -0.0125
1470.34   0.05
1470.1   0
1469.85   0.0875
1469.61   0.025
1469.36   -0.0875
1469.12   -0.1375
1468.87   0.025
1468.62   0.15
1468.38   0.05
1468.13   0.025
1467.89   -0.0125
1467.64   0
1467.4   0.075
1467.15   0.0125
1466.91   0.1875
1466.66   0
1466.42   0.2375
1466.17   0.025
1465.93   0.0125
1465.68   0.05
1465.44   0.0125
1465.19   0.0625
1464.94   0.0125
1464.7   -0.0375
1464.45   0.1375
1464.21   0.075
1463.96   -0.0375
1463.71   0.3
1463.47   0.3125
1463.22   0.1625
1462.98   0.1625
1462.73   0.225
1462.49   0.3625
1462.24   0.8
1462   1.7
1461.75   2.9875
1461.5   4.4375
1461.26   6.4375
1461.01   8.6875
1460.77   11.175
1460.52   11.825
1460.27   13.4875
1460.03   14.55
1459.78   15.425
1459.54   15.2875
1459.29   15.9375
1459.04   15.275
1458.8   15.575
1458.55   16.0875
1458.31   15.6875
1458.06   16.45
1457.81   15.5625
1457.57   15.9
1457.32   16.425
1457.08   16.1125
1456.83   15.75
1456.58   16.15
1456.34   16.475
1456.09   16.2125
1455.84   16.1625
1455.6   15.8625
1455.35   16.1875
1455.11   15.9625
1454.86   15.6625
1454.62   16.2
1454.37   17.05
1454.12   16.7125
1453.88   16.375
1453.63   16.325
1453.38   15.875
1453.14   15.6875
1452.89   16.0125
1452.65   15.8
1452.4   16.025
1452.15   16.2875
1451.91   16.5625
1451.66   15.9
1451.41   16.0875
1451.17   15.425
1450.92   15.425
1450.67   15.9875
1450.43   15.875
1450.18   15.3125
1449.93   15.4125
1449.69   15.75
1449.44   15.6875
1449.2   16.3
1448.95   15.9
1448.7   16.2375
1448.46   16.375
1448.21   15.8875
1447.96   15.875
1447.72   15.5
1447.47   16.1625
1447.22   16.2375
1446.98   15.9875
1446.73   16.15
1446.48   15.4125
1446.24   15.725
1445.99   15.8375
1445.74   15.9375
1445.5   15.475
1445.25   15.225
1445   15.9
1444.76   15.8375
1444.51   16.2
1444.26   15.9375
1444.02   15.775
1443.77   15.8125
1443.52   15.7875
1443.28   15.7875
1443.03   15.975
1442.78   15.6875
1442.54   15.5875
1442.29   15.4375
1442.04   15.8125
1441.79   15.925
1441.55   15.8625
1441.3   15.7125
1441.05   15.7
1440.81   15.725
1440.56   15.55
1440.31   16.0125
1440.07   15.8375
1439.82   15.7125
1439.57   15.825
1439.33   15.6
1439.08   16.35
1438.83   15.775
1438.58   15.325
1438.34   15.625
1438.09   15.375
1437.84   15.6625
1437.59   15.35
