XY
Wavenumber     
Intensity      
"Start : "1424.03
"Stop  : "1672.41
S25424q.m3d

1672.41   0.0833333
1672.17   0.0875
1671.94   0.0791667
1671.7   0.0416667
1671.47   0.1125
1671.23   0.0958333
1670.99   0.104167
1670.76   0.104167
1670.52   0.0791667
1670.29   0.0666667
1670.05   0.075
1669.81   0.0666667
1669.58   0.0291667
1669.34   0.0666667
1669.1   0.108333
1668.87   0.0833333
1668.63   0.108333
1668.4   0.120833
1668.16   0.104167
1667.92   0.15
1667.69   0.0916667
1667.45   0.0625
1667.21   0.0875
1666.98   0.0916667
1666.74   0.116667
1666.51   0.125
1666.27   0.104167
1666.03   0.0833333
1665.8   0.133333
1665.56   0.104167
1665.33   0.1
1665.09   0.166667
1664.85   0.108333
1664.62   0.104167
1664.38   0.108333
1664.14   0.154167
1663.91   0.0958333
1663.67   0.133333
1663.43   0.15
1663.2   0.116667
1662.96   0.125
1662.72   0.116667
1662.49   0.104167
1662.25   0.0541667
1662.01   0.0791667
1661.78   0.158333
1661.54   0.129167
1661.3   0.145833
1661.07   0.116667
1660.83   0.154167
1660.59   0.116667
1660.36   0.195833
1660.12   0.15
1659.89   0.15
1659.65   0.179167
1659.41   0.225
1659.17   0.2375
1658.94   0.216667
1658.7   0.25
1658.46   0.1875
1658.23   0.241667
1657.99   0.270833
1657.75   0.333333
1657.52   0.366667
1657.28   0.558333
1657.04   1.16667
1656.81   2.56667
1656.57   4.47917
1656.33   6.79583
1656.1   9.45
1655.86   12.025
1655.62   14.3542
1655.39   16.225
1655.15   17.1292
1654.91   18.3625
1654.67   18.6208
1654.44   19.1292
1654.2   19.325
1653.96   19.2375
1653.73   19.3167
1653.49   19.15
1653.25   19.5042
1653.02   19.35
1652.78   19.1708
1652.54   19.2667
1652.3   19.3958
1652.07   19.3833
1651.83   19.4417
1651.59   19.7083
1651.36   19.2333
1651.12   19.55
1650.88   19.4875
1650.65   19.6542
1650.41   19.55
1650.17   19.3333
1649.93   19.6167
1649.7   19.3417
1649.46   19.55
1649.22   19.3417
1648.98   19.3083
1648.75   19.625
1648.51   19.3583
1648.27   19.3375
1648.03   19.525
1647.8   19.4542
1647.56   19.6333
1647.32   19.8917
1647.08   19.7583
1646.85   19.9583
1646.61   19.4875
1646.37   19.425
1646.14   19.4917
1645.9   19.5583
1645.66   19.5417
1645.42   19.3125
1645.18   19.4542
1644.95   19.7375
1644.71   19.6792
1644.47   19.4458
1644.24   19.6583
1644   19.3208
1643.76   19.4708
1643.52   19.6292
1643.28   19.7458
1643.05   19.175
1642.81   19.2875
1642.57   19.2833
1642.33   19.6458
1642.1   19.5625
1641.86   19.8875
1641.62   19.5625
1641.38   19.625
1641.15   19.3667
1640.91   19.3667
1640.67   19.5458
1640.43   19.6042
1640.19   19.7375
1639.96   19.6542
1639.72   19.3417
1639.48   19.9125
1639.24   19.8333
1639   19.8208
1638.77   19.6958
1638.53   19.55
1638.29   19.625
1638.05   19.9792
1637.82   19.6667
1637.58   20.075
1637.34   19.9
1637.1   20.0542
1636.87   19.9583
1636.63   19.7417
1636.39   20
1636.15   20.0708
1635.91   20.1667
1635.68   19.8917
1635.44   19.9542
1635.2   19.9958
1634.96   20.2125
1634.72   20.3958
1634.49   20.225
1634.25   20.1667
1634.01   19.9417
1633.77   20.1708
1633.53   20.0333
1633.29   20.2083
1633.06   20.2542
1632.82   20.0958
1632.58   20.0625
1632.34   20.425
1632.1   20.2708
1631.87   20.4292
1631.63   20.1042
1631.39   20.0042
1631.15   20.6042
1630.91   20.2667
1630.67   20.7917
1630.44   20.425
1630.2   20.5083
1629.96   20.2875
1629.72   20.4333
1629.48   20.6208
1629.24   20.5167
1629   20.7875
1628.77   20.6583
1628.53   21.0042
1628.29   20.925
1628.05   21.1375
1627.81   20.6542
1627.58   20.8875
1627.34   20.8708
1627.1   20.7875
1626.86   21.2667
1626.62   21.125
1626.38   21.3083
1626.14   20.9208
1625.91   21.2708
1625.67   21.2375
1625.43   21.0833
1625.19   21.2
1624.95   21.3792
1624.71   21.4458
1624.47   21.4542
1624.23   21.475
1624   21.1542
1623.76   21.8167
1623.52   21.5917
1623.28   21.6583
1623.04   21.6
1622.8   21.9667
1622.56   21.9167
1622.33   22.2583
1622.09   21.9292
1621.85   22.025
1621.61   21.9792
1621.37   22.1167
1621.13   22.0875
1620.89   21.9917
1620.65   22.4292
1620.41   22.4375
1620.18   23.05
1619.94   22.9083
1619.7   22.4542
1619.46   22.7083
1619.22   23.2
1618.98   22.8708
1618.74   23.2167
1618.5   23.2
1618.26   23.3792
1618.03   23.0583
1617.79   23.3917
1617.55   23.4208
1617.31   23.8292
1617.07   23.7667
1616.83   24.3958
1616.59   23.7833
1616.35   23.8625
1616.11   24.025
1615.88   24.2333
1615.64   24.325
1615.4   24.6333
1615.16   24.7792
1614.92   24.5708
1614.68   24.8375
1614.44   25.1667
1614.2   24.8875
1613.96   25.5167
1613.72   25.7792
1613.48   25.5167
1613.24   25.25
1613   26.0708
1612.76   25.825
1612.53   26.2333
1612.29   26.3458
1612.05   26.4458
1611.81   26.55
1611.57   26.5958
1611.33   27.3958
1611.09   27.1833
1610.85   27.1792
1610.61   27.2875
1610.37   28.0542
1610.13   28.1667
1609.89   28.2583
1609.65   29.1167
1609.41   28.575
1609.17   28.8958
1608.93   29.5292
1608.69   29.4042
1608.46   29.825
1608.22   29.9458
1607.98   30.6583
1607.74   30.5083
1607.5   31.4
1607.26   30.925
1607.02   31.5333
1606.78   31.55
1606.54   32.5
1606.3   32.5292
1606.06   32.3667
1605.82   33.0708
1605.58   33.6708
1605.34   34.3792
1605.1   35.05
1604.86   34.2667
1604.62   34.7625
1604.38   35.1042
1604.14   35.625
1603.9   36.3458
1603.66   36.3917
1603.42   36.8458
1603.18   36.8792
1602.94   37.75
1602.7   38.1
1602.46   38.4917
1602.22   39.3958
1601.98   39.95
1601.74   40.2125
1601.5   40.8375
1601.26   41.0042
1601.02   41.6917
1600.78   42.3375
1600.54   42.525
1600.3   43.1083
1600.06   44.475
1599.82   44.0167
1599.58   45.2208
1599.34   45.5083
1599.1   46.6708
1598.86   46.8292
1598.62   47.2958
1598.38   47.7625
1598.14   48.2458
1597.9   47.8875
1597.66   49.4583
1597.42   49.2458
1597.18   50.5
1596.94   50.8792
1596.7   51.5208
1596.46   52.2333
1596.22   52.8125
1595.98   53.5167
1595.74   53.5417
1595.5   54.1542
1595.26   54.025
1595.02   54.3
1594.78   55.3958
1594.54   55.7167
1594.3   55.1833
1594.06   55.4875
1593.82   55.75
1593.58   55.5208
1593.34   55.4417
1593.1   55.6833
1592.86   55.7292
1592.62   55.8375
1592.38   55.1333
1592.14   55.375
1591.9   54.9542
1591.66   54.4917
1591.42   55.1875
1591.18   54.6208
1590.93   54.2333
1590.69   54.2083
1590.45   52.95
1590.21   51.675
1589.97   51.4375
1589.73   50.9333
1589.49   50.2583
1589.25   49.4625
1589.01   48.3958
1588.77   48.1625
1588.53   47.8125
1588.29   46.1208
1588.05   45.6458
1587.81   44.1333
1587.57   44.1042
1587.33   43.4375
1587.08   41.9708
1586.84   41.075
1586.6   41.0292
1586.36   40.0208
1586.12   39.85
1585.88   38.4833
1585.64   37.9958
1585.4   37.0625
1585.16   36.9458
1584.92   36.25
1584.68   35.7792
1584.44   35.3167
1584.2   34.7667
1583.95   34.25
1583.71   33.975
1583.47   33.0667
1583.23   32.4333
1582.99   32.4458
1582.75   32.1625
1582.51   31.6833
1582.27   31.2375
1582.03   31.2792
1581.79   30.9125
1581.55   30.6
1581.3   30.1833
1581.06   29.6667
1580.82   29.45
1580.58   29.5542
1580.34   28.575
1580.1   28.5167
1579.86   28.1292
1579.62   28.2667
1579.38   28.3833
1579.13   27.8792
1578.89   27.9625
1578.65   27.7792
1578.41   27.2667
1578.17   27.4292
1577.93   26.9542
1577.69   26.8708
1577.44   26.9417
1577.2   26.45
1576.96   26.7667
1576.72   26.1417
1576.48   25.8083
1576.24   26.0125
1576   25.8875
1575.76   25.775
1575.51   25.9
1575.27   25.6458
1575.03   25.4958
1574.79   25.675
1574.55   25.8625
1574.31   25.0667
1574.07   24.8375
1573.83   24.65
1573.58   25.6375
1573.34   24.675
1573.1   24.7958
1572.86   24.6167
1572.62   24.7667
1572.38   24.5792
1572.14   25.0208
1571.89   24.4958
1571.65   24.3
1571.41   24.625
1571.17   24.225
1570.93   24.1708
1570.69   24.1792
1570.44   24.1333
1570.2   24.2375
1569.96   24.4458
1569.72   24.1917
1569.48   24.4292
1569.24   24.3875
1568.99   24.3708
1568.75   24.3167
1568.51   24.6625
1568.27   24.4167
1568.03   24.1417
1567.79   24.725
1567.54   24.4042
1567.3   24.3917
1567.06   24.4708
1566.82   24.6375
1566.58   24.5167
1566.33   24.5458
1566.09   24.4542
1565.85   25.0833
1565.61   25.35
1565.37   24.7917
1565.12   24.9792
1564.88   25.0375
1564.64   24.9333
1564.4   25.4792
1564.16   25.55
1563.92   24.8292
1563.67   25.7
1563.43   25.6792
1563.19   25.6458
1562.95   25.7667
1562.71   26.1125
1562.46   25.5875
1562.22   26.4167
1561.98   26.5542
1561.74   25.7833
1561.49   26.1125
1561.25   26.5375
1561.01   26.5792
1560.77   26.4083
1560.52   26.7833
1560.29   26.8667
1560.04   26.9958
1559.8   27.2708
1559.56   27.2875
1559.32   27.3583
1559.07   27.275
1558.83   27.2042
1558.59   27.45
1558.35   27.5083
1558.1   27.6917
1557.86   27.425
1557.62   27.1958
1557.38   26.9667
1557.13   27.4667
1556.89   27.3208
1556.65   27.5167
1556.41   27.4833
1556.17   27.4583
1555.92   27.5667
1555.68   27.3708
1555.44   27.6417
1555.2   27.1333
1554.95   27.5458
1554.71   27.1833
1554.47   26.7458
1554.22   27.4417
1553.98   27.3792
1553.74   26.9375
1553.5   27.0542
1553.25   26.6583
1553.01   26.6
1552.77   26.5083
1552.53   26.5125
1552.28   26.7917
1552.04   26.4375
1551.8   26.0792
1551.56   25.9833
1551.31   25.9917
1551.07   25.7292
1550.83   26.2458
1550.58   25.4375
1550.34   25.3625
1550.1   25.2708
1549.86   24.9917
1549.61   25.2333
1549.37   24.8208
1549.13   24.625
1548.88   24.7292
1548.64   24.4333
1548.4   24.5958
1548.16   24.4625
1547.91   24.3958
1547.67   24.425
1547.43   23.7417
1547.19   23.9875
1546.94   23.8792
1546.7   24.2125
1546.46   23.9458
1546.21   23.5542
1545.97   23.9875
1545.73   23.6042
1545.49   23.6042
1545.24   23.4917
1545   23.525
1544.76   23.95
1544.51   23.4958
1544.27   24.05
1544.03   23.6958
1543.78   23.6833
1543.54   23.3917
1543.3   23.4875
1543.05   23.2625
1542.81   23.725
1542.57   23.575
1542.33   23.75
1542.08   23.5417
1541.84   23.5875
1541.6   23.1917
1541.35   23.5
1541.11   23.1667
1540.87   23.5792
1540.62   23.5833
1540.38   23.275
1540.14   23.0583
1539.89   23.1208
1539.65   23.15
1539.4   22.9625
1539.16   22.7458
1538.92   22.5417
1538.68   22.675
1538.43   22.4417
1538.19   22.2583
1537.94   22.3875
1537.7   21.95
1537.46   21.9458
1537.21   22.2
1536.97   21.6625
1536.73   22.0333
1536.48   21.6708
1536.24   21.7875
1536   21.5167
1535.75   21.7208
1535.51   21.7542
1535.27   21.05
1535.02   21.4625
1534.78   21.5083
1534.54   21.1958
1534.29   21.4042
1534.05   20.9958
1533.8   21.1917
1533.56   20.9917
1533.32   20.8375
1533.07   21.1958
1532.83   20.8333
1532.59   21.0042
1532.34   21.2
1532.1   20.6167
1531.85   20.8625
1531.61   20.9833
1531.37   20.9625
1531.12   20.95
1530.88   20.1792
1530.64   21.075
1530.39   20.3875
1530.15   20.6167
1529.9   20.7083
1529.66   20.6167
1529.42   20.6625
1529.17   20.3625
1528.93   20.5167
1528.69   20.3375
1528.44   20.7625
1528.2   20.1
1527.95   20.2792
1527.71   20.425
1527.46   20.45
1527.22   20.1958
1526.98   20.175
1526.73   20.1917
1526.49   20.2292
1526.25   20.4958
1526   20.1625
1525.76   20.3833
1525.51   20.5333
1525.27   20.4125
1525.02   20.2208
1524.78   20.3833
1524.54   20.2417
1524.29   20.0625
1524.05   20.0625
1523.8   20.1458
1523.56   19.9375
1523.32   20.2417
1523.07   20.0917
1522.83   19.8333
1522.58   19.9583
1522.34   20.0083
1522.09   20.1875
1521.85   20.1792
1521.6   20.0083
1521.36   19.8917
1521.12   19.8583
1520.87   20.025
1520.63   19.7042
1520.38   19.5625
1520.14   19.7625
1519.89   19.7667
1519.65   19.6125
1519.41   19.375
1519.16   19.6375
1518.92   19.5833
1518.67   19.5083
1518.43   19.3
1518.18   19.825
1517.94   19.6292
1517.7   19.5542
1517.45   19.5458
1517.2   19.2375
1516.96   19.425
1516.72   19.4917
1516.47   19.3042
1516.23   19.2125
1515.98   19.5792
1515.74   19.7292
1515.49   19.075
1515.25   19.25
1515   19.6417
1514.76   19.1125
1514.51   18.9625
1514.27   19.0875
1514.03   18.9708
1513.78   19.0083
1513.54   19.4792
1513.29   18.5125
1513.04   18.8125
1512.8   18.8542
1512.56   18.65
1512.31   18.8625
1512.07   18.8417
1511.82   18.4417
1511.58   18.7583
1511.33   18.7125
1511.09   18.6083
1510.84   18.6583
1510.6   18.5833
1510.35   19.1
1510.11   18.825
1509.86   19.0667
1509.62   18.7333
1509.37   18.5542
1509.13   18.8292
1508.88   19.1333
1508.64   19.1125
1508.39   18.525
1508.15   18.7375
1507.9   18.9
1507.66   18.8042
1507.41   18.5167
1507.17   19.1542
1506.92   18.7292
1506.68   18.5458
1506.43   18.9667
1506.19   18.6833
1505.94   19.2417
1505.69   18.5667
1505.45   18.9875
1505.21   18.4
1504.96   18.9
1504.71   18.4792
1504.47   18.9458
1504.22   18.4292
1503.98   18.9125
1503.73   18.8208
1503.49   18.2
1503.24   18.6667
1503   18.8375
1502.75   18.8
1502.51   18.6042
1502.26   18.6
1502.02   18.65
1501.77   18.9583
1501.53   19.0125
1501.28   18.7
1501.03   18.65
1500.79   18.8917
1500.54   18.8792
1500.3   18.8458
1500.05   18.5917
1499.81   18.875
1499.56   18.3375
1499.31   18.7167
1499.07   19.1458
1498.82   18.7958
1498.58   18.625
1498.33   18.7042
1498.09   18.75
1497.84   18.6
1497.6   18.6667
1497.35   18.65
1497.1   18.5292
1496.86   18.875
1496.61   18.4208
1496.37   18.4667
1496.12   18.6042
1495.88   18.4375
1495.63   18.625
1495.38   18.2583
1495.14   18.4583
1494.89   18.6
1494.65   18.6917
1494.4   18.6208
1494.15   18.3042
1493.91   18.8375
1493.66   18.8042
1493.42   18.4917
1493.17   18.7542
1492.93   18.6083
1492.68   18.675
1492.43   18.8375
1492.19   18.35
1491.94   18.5708
1491.7   18.2042
1491.45   18.5833
1491.2   18.7167
1490.96   18.8
1490.71   18.775
1490.47   18.85
1490.22   18.8292
1489.97   18.8958
1489.73   18.3583
1489.48   18.4833
1489.24   18.55
1488.99   18.3583
1488.74   18.5458
1488.5   18.9167
1488.25   18.4042
1488   18.4667
1487.76   18.5708
1487.51   18.225
1487.26   18.4917
1487.02   18.1542
1486.77   18.5292
1486.53   18.4083
1486.28   18.4875
1486.03   18.8292
1485.79   18.3125
1485.54   18.0292
1485.3   18.225
1485.05   18.4583
1484.8   18.3917
1484.56   18.3792
1484.31   18.4
1484.06   18.4208
1483.82   18.6583
1483.57   18.5708
1483.32   18.2042
1483.08   18.5417
1482.83   18.6
1482.59   18.4167
1482.34   18.6458
1482.09   18.4333
1481.85   18.525
1481.6   18.3958
1481.35   18.4458
1481.11   18.5625
1480.86   18.0125
1480.61   18.3542
1480.37   18.4458
1480.12   18.1583
1479.87   18.1583
1479.63   18.0208
1479.38   18.0875
1479.13   18.1583
1478.89   18.5458
1478.64   18.3292
1478.39   18.0125
1478.15   18.1333
1477.9   18
1477.65   17.9833
1477.41   18.2167
1477.16   17.8
1476.91   18.0417
1476.67   18.3542
1476.42   18.2375
1476.17   18.2792
1475.92   18.1958
1475.68   17.7125
1475.43   17.8917
1475.18   18.0583
1474.94   18.0125
1474.69   17.8917
1474.44   17.9792
1474.2   18.3417
1473.95   18.2125
1473.7   17.9917
1473.46   18.05
1473.21   17.775
1472.96   17.7167
1472.71   17.6417
1472.47   17.7708
1472.22   17.4833
1471.97   17.425
1471.73   17.5792
1471.48   17.5333
1471.23   17.6125
1470.98   18.025
1470.74   17.6917
1470.49   17.9625
1470.24   18.0125
1470   18.0292
1469.75   18.0083
1469.5   18.3667
1469.25   17.9542
1469.01   18.2042
1468.76   17.825
1468.51   18.2792
1468.27   17.8875
1468.02   18.0417
1467.77   18.025
1467.52   18.4583
1467.28   17.9208
1467.03   18.1292
1466.78   18.2417
1466.53   18.1375
1466.29   18.5333
1466.04   18.0583
1465.79   18.1
1465.54   18.3208
1465.3   18.2083
1465.05   18.1708
1464.8   18.2625
1464.55   18.5042
1464.31   18.2958
1464.06   18.3208
1463.81   17.8208
1463.56   18.5167
1463.32   18.275
1463.07   18.1833
1462.82   18.4375
1462.58   18.3333
1462.33   17.9292
1462.08   18.5167
1461.83   18.0417
1461.58   18.2583
1461.34   18.1167
1461.09   18.3
1460.84   18.2167
1460.59   18.2708
1460.34   18.3833
1460.1   18.1125
1459.85   18.1625
1459.6   18.1458
1459.35   18.425
1459.11   18.0333
1458.86   18.3833
1458.61   18.3417
1458.36   17.8625
1458.11   17.9542
1457.87   18.0708
1457.62   18.0708
1457.37   17.8833
1457.12   17.6292
1456.88   17.8667
1456.63   18.1292
1456.38   18.0458
1456.13   18.0625
1455.88   17.8833
1455.64   18.2125
1455.39   18.1583
1455.14   18.1292
1454.89   18.5125
1454.64   18.0042
1454.4   18.0333
1454.15   18.1583
1453.9   18.05
1453.65   18.0708
1453.4   18.1083
1453.16   17.8458
1452.91   18.225
1452.66   17.8417
1452.41   18.5417
1452.16   17.75
1451.91   18.0667
1451.67   17.7458
1451.42   18.3542
1451.17   18.2125
1450.92   17.65
1450.67   18.025
1450.43   17.8458
1450.18   17.9708
1449.93   17.8542
1449.68   18.1875
1449.43   17.6875
1449.18   18.0667
1448.93   17.4958
1448.69   17.5375
1448.44   17.9875
1448.19   18.0625
1447.94   18.0292
1447.69   17.65
1447.45   18.0417
1447.2   18.0125
1446.95   18
1446.7   17.8917
1446.45   17.9292
1446.2   17.7125
1445.95   17.8917
1445.71   17.95
1445.46   17.575
1445.21   18.3167
1444.96   17.7917
1444.71   18.0583
1444.46   18.0042
1444.21   17.9167
1443.97   17.8333
1443.72   17.9542
1443.47   18.1667
1443.22   17.5333
1442.97   18.05
1442.72   18.0917
1442.47   17.8583
1442.23   17.8667
1441.98   17.675
1441.73   17.9208
1441.48   17.9
1441.23   17.6875
1440.98   17.7417
1440.73   17.7417
1440.48   17.975
1440.23   17.8875
1439.99   17.6875
1439.74   17.875
1439.49   17.5042
1439.24   17.7292
1438.99   17.5708
1438.74   17.5542
1438.49   17.6917
1438.24   17.8417
1438   18.1042
1437.75   17.8167
1437.5   17.9167
1437.25   17.8208
1437   17.6708
1436.75   17.9
1436.5   17.7417
1436.25   17.6958
1436   17.7208
1435.75   17.9833
1435.5   17.5333
1435.25   17.9
1435.01   17.8333
1434.76   17.4625
1434.51   17.4292
1434.26   17.6083
1434.01   17.5667
1433.76   17.5667
1433.51   17.1875
1433.26   17.5708
1433.01   17.2333
1432.76   17.6333
1432.51   17.55
1432.26   17.775
1432.02   17.1625
1431.77   17.3875
1431.52   17.5292
1431.27   17.4625
1431.02   17.3667
1430.77   17.3083
1430.52   17.2333
1430.27   17.2667
1430.02   16.9792
1429.77   16.3583
1429.52   14.6542
1429.27   13.5
1429.02   11.2042
1428.77   8.95417
1428.52   6.77083
1428.27   4.89167
1428.02   3.26667
1427.78   2.28333
1427.53   1.51667
1427.28   1.16667
1427.03   0.766667
1426.78   0.733333
1426.53   0.604167
1426.28   0.520833
1426.03   0.441667
1425.78   0.4125
1425.53   0.370833
1425.28   0.3625
1425.03   0.329167
1424.78   0.270833
1424.53   0.295833
1424.28   0.295833
1424.03   0.295833
