XY
Wavenumber     
Intensity      
"Start : "1219.12
"Stop  : "1476.96
S25424rb.m3d

1476.96   0.0791667
1476.72   0.0708333
1476.47   0.0666667
1476.23   0.0416667
1475.98   0.05
1475.74   0.0875
1475.49   0.0458333
1475.25   0.0125
1475   0.0625
1474.76   0.0791667
1474.51   0.0416667
1474.27   0.0541667
1474.02   0.0458333
1473.78   0.0291667
1473.53   0.0541667
1473.29   0.0416667
1473.04   0.0708333
1472.8   0.0833333
1472.55   0.0666667
1472.31   0.0916667
1472.06   0.0791667
1471.81   0.116667
1471.57   0.0791667
1471.32   0.0666667
1471.08   0.0666667
1470.83   0.0791667
1470.59   0.0333333
1470.34   0.0708333
1470.1   0.0916667
1469.85   0.0833333
1469.61   0.075
1469.36   0.0958333
1469.12   0.0625
1468.87   0.0541667
1468.62   0.0416667
1468.38   0.0791667
1468.13   0.1
1467.89   0.116667
1467.64   0.0708333
1467.4   0.0833333
1467.15   0.0416667
1466.91   0.0875
1466.66   0.108333
1466.42   0.120833
1466.17   0.154167
1465.93   0.0666667
1465.68   0.0708333
1465.44   0.0833333
1465.19   0.0791667
1464.94   0.129167
1464.7   0.133333
1464.45   0.0875
1464.21   0.145833
1463.96   0.133333
1463.71   0.15
1463.47   0.1375
1463.22   0.166667
1462.98   0.2875
1462.73   0.220833
1462.49   0.366667
1462.24   0.791667
1462   1.825
1461.75   3.07083
1461.5   4.94167
1461.26   6.92083
1461.01   8.97083
1460.77   10.7292
1460.52   12.2042
1460.27   13.375
1460.03   14.125
1459.78   14.6958
1459.54   14.8292
1459.29   15.2208
1459.04   14.8625
1458.8   15.1167
1458.55   15.1
1458.31   14.7625
1458.06   15.35
1457.81   15.2333
1457.57   14.8125
1457.32   14.95
1457.08   15.1375
1456.83   15.1042
1456.58   15.0792
1456.34   15.3
1456.09   15.0125
1455.84   15.1833
1455.6   15.2125
1455.35   15.325
1455.11   15.2083
1454.86   15.0583
1454.62   15.1292
1454.37   15.3542
1454.12   15.3042
1453.88   15.0042
1453.63   14.9333
1453.38   15.3333
1453.14   15.175
1452.89   14.9458
1452.65   15.0667
1452.4   15.3042
1452.15   14.9708
1451.91   14.9917
1451.66   15.1958
1451.41   15.0917
1451.17   15.2667
1450.92   15.0667
1450.67   15.0042
1450.43   15.2958
1450.18   15.0625
1449.93   15.1417
1449.69   15.1167
1449.44   15.1917
1449.2   15.3417
1448.95   15.6
1448.7   15.1208
1448.46   14.9583
1448.21   15.1875
1447.96   15.1042
1447.72   14.8708
1447.47   15.1542
1447.22   15.2417
1446.98   15.3542
1446.73   15.1667
1446.48   14.8792
1446.24   15.15
1445.99   15.2208
1445.74   14.95
1445.5   15.325
1445.25   15.1583
1445   14.825
1444.76   15.2375
1444.51   15.2375
1444.26   15.1792
1444.02   15.0458
1443.77   15.3042
1443.52   15.2417
1443.28   14.8667
1443.03   15.0417
1442.78   15.2375
1442.54   15.2667
1442.29   15.0625
1442.04   15.2125
1441.79   15.2083
1441.55   15.1625
1441.3   15.1625
1441.05   15.3375
1440.81   15.2208
1440.56   15.0708
1440.31   15.475
1440.07   15.0708
1439.82   15.2625
1439.57   15.125
1439.33   14.9667
1439.08   15.1208
1438.83   15.2167
1438.58   14.9583
1438.34   15.0708
1438.09   14.8083
1437.84   15.15
1437.59   15.2625
1437.35   15.2667
1437.1   15.2542
1436.85   15.1292
1436.61   15.0208
1436.36   15.275
1436.11   15.1042
1435.87   14.8833
1435.62   15.1625
1435.37   15.2292
1435.12   14.9833
1434.88   14.975
1434.63   15.3042
1434.38   15.1083
1434.13   15.425
1433.89   14.8708
1433.64   15.0208
1433.39   14.9542
1433.15   15.1792
1432.9   14.7083
1432.65   15.375
1432.4   15.2417
1432.16   15.325
1431.91   15.0625
1431.66   14.9708
1431.41   14.9833
1431.17   14.8333
1430.92   15.0292
1430.67   15.0083
1430.42   15.2542
1430.18   14.8833
1429.93   15.1333
1429.68   14.8917
1429.43   14.9958
1429.19   15.1375
1428.94   15.3167
1428.69   15.3
1428.44   15.0083
1428.19   15.1458
1427.95   15.2583
1427.7   14.8625
1427.45   15.1083
1427.2   15.1917
1426.96   15.2958
1426.71   15.2042
1426.46   15.1167
1426.21   15.0417
1425.96   15.1375
1425.72   15.15
1425.47   14.925
1425.22   14.8375
1424.97   15.2542
1424.73   15.1208
1424.48   15.0125
1424.23   15.1292
1423.98   15.1792
1423.73   14.9625
1423.49   15.1042
1423.24   14.9833
1422.99   14.8917
1422.74   15.1583
1422.49   15.2458
1422.25   15.0792
1422   14.6708
1421.75   15.2625
1421.5   15.1583
1421.26   14.975
