XY
Wavenumber     
Intensity      
"Start : "194.292
"Stop  : "501.097
S25424s.m3d

501.097   -0.0125
500.805   -0.0291667
500.515   -0.0166667
500.224   0.0458333
499.934   0.0125
499.642   -0.0166667
499.351   0.0291667
499.059   -0.0125
498.769   -0.0125
498.477   0.00833333
498.184   0.0208333
497.893   0.0166667
497.603   0.0166667
497.312   -0.0166667
497.019   0.0166667
496.727   0.0458333
496.437   -1.86265e-09
496.145   -9.31323e-10
495.855   0.0125
495.562   0.0208333
495.271   0.0125
494.979   0.0208333
494.688   0.0166667
494.395   0.0166667
494.104   0.025
493.812   0.0458333
493.521   -0.0208333
493.228   0.025
492.938   0.00416667
492.646   0.00833333
492.354   0.0166667
492.062   0.0416667
491.771   0.0458333
491.479   -1.86265e-09
491.188   0.0875
490.896   0.0166667
490.604   0
490.312   -0.025
490.019   0.0708333
489.729   0.00833333
489.437   0.025
489.145   0.0708333
488.852   0.0625
488.562   0.0375
488.269   0.0458333
487.976   0.0416667
487.685   0.00833333
487.394   0.0958333
487.102   0.258333
486.809   0.529167
486.517   0.9125
486.226   1.40833
485.933   2.10417
485.641   2.77083
485.351   3.25
485.058   3.77083
484.765   4.0875
484.473   4.35417
484.179   4.475
483.888   4.53333
483.597   4.65
483.304   4.74167
483.011   4.70417
482.72   4.8375
482.427   4.8625
482.135   4.89583
481.843   4.75417
481.55   4.7875
481.257   4.75417
480.966   4.8625
480.674   4.8375
480.381   4.7625
480.089   4.87083
479.795   4.65
479.503   4.8125
479.212   4.85
478.919   4.66667
478.626   4.7125
478.334   4.775
478.04   4.74583
477.749   4.88333
477.457   4.70833
477.164   4.82917
476.871   4.775
476.577   4.72917
476.284   4.82083
475.993   4.68333
475.699   4.7375
475.407   4.92083
475.116   4.8
474.823   4.83333
474.53   4.80417
474.238   4.875
473.943   4.9375
473.651   4.77917
473.357   4.825
473.066   4.80417
472.773   4.7625
472.48   4.95833
472.188   4.625
471.895   4.98333
471.601   4.85
471.31   4.83333
471.017   4.84583
470.723   4.9625
470.43   4.91667
470.137   4.925
469.845   4.67917
469.552   4.84167
469.259   4.82083
468.966   4.84167
468.672   5.0625
468.379   4.76667
468.086   4.97917
467.793   4.76667
467.498   5.12917
467.206   4.89583
466.914   4.8875
466.619   4.92083
466.327   4.90833
466.033   4.82917
465.741   4.88333
465.447   4.83333
465.154   4.9125
464.861   5.03333
464.567   5.06667
464.274   4.98333
463.98   5
463.688   4.74583
463.395   4.8875
463.102   4.96667
462.808   4.86667
462.514   4.9375
462.222   4.75833
461.927   4.85
461.634   4.7375
461.339   4.89583
461.048   4.94583
460.752   4.85833
460.46   4.85
460.166   5.03333
459.873   4.89167
459.58   5.04167
459.285   4.84583
458.991   4.80417
458.697   4.85833
458.406   4.7375
458.112   4.88333
457.818   5.09167
457.524   4.86667
457.23   4.86667
456.937   4.85833
456.643   4.87083
456.349   4.79583
456.056   4.75
455.762   4.89167
455.468   4.92083
455.174   4.9
454.88   4.81667
454.585   4.775
454.292   4.9125
453.998   5.00417
453.704   4.925
453.41   4.825
453.116   5.0375
452.823   4.84583
452.529   4.875
452.235   4.65
451.941   4.94167
451.646   4.87917
451.354   4.77083
451.058   5.01667
450.765   4.82083
450.47   4.825
450.177   4.94167
449.883   4.90833
