Atom_number     X(nm)     Y(nm)     Z(nm)     
1     0.0000000000     0.0000000000     1.8601990532  
2     0.0638185353     0.1290611750     1.8580070241  
3     0.2828570616     0.0184373107     1.8161452433  
4     0.2058545422     0.1382798303     1.8371326223  
5     0.4158417252     0.0276559661     1.7620615383  
6     0.0478803654     0.3779648696     1.8589658248  
7     0.2676052290     0.2673410053     1.8208703000  
8     0.4719465381     0.1567171410     1.7315679256  
9     0.6491575279     0.0460932768     1.5961923379  
10     0.1902537799     0.3871835249     1.8405327359  
11     0.4014987157     0.2765596607     1.7690774230  
12     0.5896630960     0.1659357964     1.6493926258  
13     0.7439301029     0.0553119321     1.4883585448  
14     0.0319280850     0.6268685642     1.8596508844  
15     0.2522745319     0.5162446999     1.8253328425  
16     0.4581187248     0.4056208356     1.7395514173  
17     0.6376275042     0.2949969714     1.6072378398  
18     0.7804816283     0.1843731071     1.4359982885  
19     0.8784689846     0.0737492428     1.2356766405  
20     0.1745969488     0.6360872195     1.8436645406  
21     0.3870373827     0.5254633552     1.7758460570  
22     0.5772285852     0.4148394910     1.6594089875  
23     0.7342372247     0.3042156267     1.5010468335  
24     0.8490375022     0.1935917625     1.3098632020  
25     0.9150300090     0.0829678982     1.0968484755  
26     0.0159663952     0.8757722587     1.8600620009  
27     0.2368694884     0.7651483945     1.8295315556  
28     0.4441559019     0.6545245302     1.7472963598  
29     0.6259095688     0.5439006660     1.6180837859  
30     0.7716821975     0.4332768017     1.4493217482  
31     0.8730939026     0.3226529374     1.2507117012  
32     0.9243149307     0.2120290732     1.0336709425  
33     0.9224007897     0.1014052089     0.8106762772  
34     0.1588886633     0.8849909141     1.8465271135  
35     0.3724619881     0.7743670498     1.7823654457  
36     0.5646239626     0.6637431856     1.6692104183  
37     0.7243279634     0.5531193213     1.5135668614  
38     0.8423932461     0.4424954570     1.3243821007  
39     0.9120327098     0.3318715928     1.1125316115  
40     0.9292430602     0.2212477285     0.8901938313  
41     0.8930349430     0.1106238643     0.6701500699  
42     0.8054898181     0.0000000000     0.4650497633  
43     0.2213946383     1.0140520891     1.8334652020  
44     0.4300621842     0.9034282248     1.7548004706  
45     0.6140071749     0.7928043605     1.6287269799  
46     0.7626553485     0.6821804963     1.4624921906  
47     0.8674615159     0.5715566320     1.2656522761  
48     0.9224007897     0.4609327678     1.0495227759  
49     0.9243149307     0.3503089035     0.8265281107  
50     0.8730939026     0.2396850392     0.6094873519  
51     0.7716821975     0.1290611750     0.4108773050  
52     0.6259095688     0.0184373107     0.2421152673  
53     0.1431335525     1.1338946087     1.8491196110  
54     0.3577768271     1.0232707444     1.7886336676  
55     0.5518529427     0.9126468802     1.6787940297  
56     0.7142052393     0.8020230159     1.5259149388  
